bweforvideo-googAvailableReceiveBandwidth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bweforvideo-googAvailableSendBandwidth,300000.0,300000.0,300000.0,300000.0,300000.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0,5312478.0
bweforvideo-googBucketDelay,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,4.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
timestamp,1541206401,1541206402,1541206403,1541206404,1541206405,1541206406,1541206407,1541206408,1541206409,1541206410,1541206411,1541206412,1541206413,1541206414,1541206415,1541206416,1541206417,1541206418,1541206419,1541206420,1541206421,1541206422,1541206423,1541206424,1541206425,1541206426,1541206427,1541206428,1541206429,1541206430,1541206431,1541206432,1541206433,1541206434,1541206435,1541206436,1541206437,1541206438,1541206439,1541206440,1541206441,1541206442,1541206443,1541206444,1541206445,1541206446,1541206447,1541206448,1541206449,1541206450,1541206451,1541206452,1541206453,1541206454,1541206455,1541206456,1541206457,1541206458,1541206459,1541206460,1541206461,1541206462,1541206463,1541206464,1541206465,1541206466,1541206467,1541206468,1541206469,1541206470,1541206471,1541206472,1541206473,1541206474,1541206475,1541206476,1541206477,1541206478,1541206479,1541206480,1541206481,1541206482,1541206483,1541206484,1541206485,1541206486,1541206487,1541206488,1541206489,1541206490,1541206491,1541206492,1541206493,1541206494,1541206495,1541206496,1541206497,1541206498,1541206499,1541206500,1541206501,1541206502,1541206503
audio_bitsReceivedPerSecond,-1,-1,-1,-1,0.0,1633958.3746283448,2324440.4003639673,2437433.962264151,2481096.0,2717232.0,2715560.0,2672120.0,2567024.0,2686576.0,2672016.0,2526024.0,2559440.0,2651592.0,2579984.0,2591752.0,2620424.0,2629208.0,2605696.0,2581824.0,2629768.0,2615848.0,2564368.0,2612568.0,2580120.0,2614632.0,2638144.0,2569080.0,2555160.0,2004112.0,2070592.0,2169760.0,2052080.0,2051256.0,2111464.0,2128096.0,2141208.0,2096040.0,2084504.0,2059096.0,2114256.0,2094520.0,2035992.0,2075080.0,2097704.0,2116200.0,2098664.0,2092936.0,2111200.0,1936864.0,2554432.0,2526840.336134454,2611702.290076336,2644160.0,2556864.0,2671360.0,2588496.0,2611800.0,2643768.0,2557040.0,2632992.0,2546224.0,2529776.0,2630696.0,2562792.0,2690144.0,2567528.0,2645608.0,2612635.3646353646,2517413.4134134133,2683096.0,2536792.0,2534440.0,2615232.0,2606240.0,2685312.0,2555680.0,2608544.0,2600976.0,2008520.0,2137944.0,2115488.0,2068352.0,2045072.0,2112480.0,2152528.0,2042696.0,2132920.0,2121384.0,2038352.0,2137464.0,2086976.0,2058240.0,2106816.0,2063160.0,2142160.0,2016312.0,2136600.0,2091888.0
audio_bitsSentPerSecond,-1,-1,-1,-1,0.0,1434220.0198216056,2377950.864422202,2543138.734739179,2612096.0,2615848.0,2694432.0,2683640.0,2616224.0,2587880.0,2626672.0,2596024.0,2624280.0,2571904.0,2614112.0,2608888.0,2633232.0,2620744.0,2604448.0,2606832.0,2565112.0,2619232.0,2597000.0,2552192.0,2644424.0,2610624.0,2655184.0,2614928.0,2666136.0,2604328.0,2640216.0,2613336.0,2610824.0,2583448.0,2656048.0,2635304.0,2626424.0,2581728.0,2532808.0,2638064.0,2656720.0,1994152.0,2104872.0,2082416.0,2199728.0,2117776.0,2165744.0,2132336.0,2116416.0,2075472.0,2118536.0,2123067.2268907563,2133435.1145038167,2074048.0,2129184.0,2146400.0,2060632.0,2167768.0,2117792.0,2062720.0,2112880.0,2052792.0,2595352.0,2553048.0,2686000.0,2607480.0,2646488.0,2664408.0,2648015.984015984,2594626.6266266266,2624224.0,2598704.0,2650784.0,2577536.0,2696792.0,2569920.0,2627016.0,2682088.0,2645840.0,2598416.0,2609544.0,2645896.0,2612464.0,2587664.0,2673632.0,2570816.0,2621120.0,2669320.0,2615728.0,2574016.0,2566744.0,2617664.0,2634848.0,2571240.0,2643640.0,2590032.0,2618120.0,2649728.0,2622192.0
audio_packetsSentPerSecond,-1,-1,-1,-1,0.0,244.79682854311199,355.77797998180165,375.1387347391787,381.0,380.0,392.0,389.0,380.0,383.0,386.0,378.0,380.0,373.0,384.0,383.0,386.0,379.0,381.0,383.0,379.0,384.0,381.0,371.0,391.0,381.0,387.0,382.0,387.0,382.0,382.0,379.0,379.0,372.0,387.0,384.0,385.0,374.0,374.0,385.0,380.0,311.0,323.0,321.0,332.0,325.0,334.0,328.0,324.0,318.0,327.0,323.52941176470586,327.29007633587787,318.0,332.0,327.0,321.0,333.0,328.0,313.0,323.0,323.0,380.0,371.0,387.0,381.0,388.0,386.0,381.6183816183816,378.3783783783784,384.0,375.0,383.0,374.0,390.0,376.0,385.0,385.0,385.0,382.0,381.0,381.0,378.0,375.0,386.0,379.0,389.0,388.0,381.0,380.0,374.0,379.0,385.0,376.0,391.0,382.0,379.0,385.0,380.0
audio_googLocalAddress,-1,-1,-1,-1,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935,10.164.0.9:38935
audio_googRemoteAddress,-1,-1,-1,-1,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535,10.164.0.8:33535
audio_googRtt,-1,-1,-1,-1,3000.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
