bweforvideo-googAvailableReceiveBandwidth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bweforvideo-googAvailableSendBandwidth,300000.0,300000.0,5250633.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0,5271282.0
bweforvideo-googBucketDelay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0
timestamp,1541196520,1541196521,1541196522,1541196523,1541196524,1541196525,1541196526,1541196527,1541196528,1541196529,1541196530,1541196531,1541196532,1541196533,1541196534,1541196535,1541196536,1541196537,1541196538,1541196539,1541196540,1541196541,1541196542,1541196543,1541196544,1541196545,1541196546,1541196547,1541196548,1541196549,1541196550,1541196551,1541196552,1541196553,1541196554,1541196555,1541196556,1541196557,1541196558,1541196559,1541196560,1541196561,1541196562,1541196563,1541196564,1541196565,1541196566,1541196567,1541196568,1541196569,1541196570,1541196571,1541196572,1541196573,1541196574,1541196575,1541196576,1541196577,1541196578,1541196579,1541196580,1541196581,1541196582,1541196583,1541196584,1541196585,1541196586,1541196587,1541196588,1541196589,1541196590,1541196591,1541196592,1541196593,1541196594,1541196595,1541196596,1541196597,1541196598,1541196599,1541196600,1541196601,1541196602,1541196603,1541196604,1541196605,1541196606,1541196607,1541196608,1541196609,1541196610,1541196611,1541196612,1541196613,1541196614,1541196615,1541196616,1541196617,1541196618,1541196619,1541196620,1541196621,1541196622,1541196623,1541196624,1541196625,1541196626
audio_bitsReceivedPerSecond,-1,-1,0.0,955120.0,1221704.0,1323664.0,1450120.0,1485592.0,1732280.0,1853888.0,1900792.0,2041088.0,2201904.0,2550640.0,2592432.0,2677328.0,2553792.0,2543880.0,2640656.0,2556256.0,2568240.0,2652384.0,2660544.0,2637976.0,2569361.3613613616,2629626.3736263737,2559792.0,2262048.0,2094632.0,2155608.0,2084416.0,2070728.0,2106176.0,2150296.0,2102192.0,2092016.0,2122664.0,2060104.0,2115392.0,2088224.0,2035200.0,2104312.0,2074608.0,2135648.0,2034560.0,2128192.0,2108648.0,2050264.0,2132348.3483483484,2078417.5824175824,2049776.0,2121096.0,2046288.0,2151800.0,2035568.0,2112944.0,2113688.0,2051888.0,2125120.0,2084216.0,2039016.0,2133968.0,2043472.0,2142024.0,2008912.0,2139936.0,2110896.0,2042960.0,2138682.6826826828,2085856.0,2046569.4305694306,2123824.0,2053824.0,2144072.0,2025856.0,2114272.0,2099448.0,2164360.0,2052512.0,2064152.0,2044868.8688688688,2104119.88011988,2064208.0,2144968.968968969,2006945.054945055,2138840.0,2088472.4724724726,2048639.3606393607,2126952.0,2102120.0,2056888.0,2102168.0,2075784.0,2138248.0,2010728.0,2143824.0,2077424.0,2049872.0,2139800.0,2084904.0,2061640.0,2095976.0,2085696.0,2132624.0,2011480.0,2147544.0,2062696.0
audio_bitsSentPerSecond,-1,-1,0.0,2041672.0,2443728.0,2437480.0,2644368.0,2631624.0,2628104.0,2578728.0,2584648.0,2588224.0,2630120.0,2646728.0,2665248.0,2582304.0,2574328.0,2589864.0,2617280.0,2651496.0,2642384.0,2578328.0,2647280.0,2636104.0,2609817.817817818,2627356.643356643,2585552.0,2587904.0,2622016.0,2627536.0,2599400.0,2568440.0,2679512.0,2603408.0,2591808.0,2651984.0,2560176.0,2589800.0,2616576.0,2647184.0,2325224.0,1986256.0,2191304.0,2062064.0,2146768.0,2160104.0,2098976.0,2072592.0,2092668.6686686687,2108475.5244755247,2081104.0,2092072.0,2114920.0,2055768.0,2105048.0,2153544.0,2097968.0,2057440.0,2097368.0,2107944.0,1941816.0,2364568.0,2605136.0,2454696.0,2682520.0,2736008.0,2654424.0,2550712.0,2586858.8588588587,2687440.0,2612499.5004995004,2568888.0,2642936.0,2589480.0,2623048.0,2626728.0,2562912.0,2599776.0,2630832.0,2635936.0,2622190.19019019,2570757.2427572426,2567392.0,2639663.6636636634,2638841.1588411587,2602904.0,2620508.5085085086,2610325.6743256743,2603240.0,2587776.0,2556912.0,2563904.0,2701336.0,2620768.0,2648784.0,2372704.0,2021256.0,2086272.0,2138680.0,2106568.0,2127256.0,2045960.0,2055760.0,2098112.0,2127936.0,2078592.0,2139368.0
audio_packetsSentPerSecond,-1,-1,0.0,319.0,365.0,356.0,383.0,389.0,384.0,373.0,378.0,382.0,385.0,389.0,387.0,380.0,381.0,375.0,384.0,381.0,388.0,377.0,382.0,385.0,380.38038038038036,384.61538461538464,380.0,380.0,382.0,384.0,376.0,375.0,392.0,384.0,381.0,387.0,377.0,378.0,380.0,380.0,350.0,319.0,336.0,323.0,335.0,333.0,326.0,319.0,322.32232232232235,323.6763236763237,323.0,319.0,328.0,322.0,331.0,335.0,329.0,322.0,325.0,325.0,303.0,353.0,383.0,360.0,393.0,397.0,385.0,376.0,378.3783783783784,392.0,378.6213786213786,378.0,387.0,381.0,384.0,382.0,381.0,376.0,388.0,382.0,381.3813813813814,377.6223776223776,376.0,386.3863863863864,386.61338661338664,376.0,382.3823823823824,380.6193806193806,381.0,378.0,374.0,375.0,392.0,386.0,387.0,359.0,318.0,325.0,329.0,324.0,323.0,321.0,316.0,326.0,329.0,324.0,330.0
audio_googLocalAddress,-1,-1,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537,10.164.0.9:40537
audio_googRemoteAddress,-1,-1,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666,10.164.0.8:35666
audio_googRtt,-1,-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0
