bweforvideo-googAvailableReceiveBandwidth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bweforvideo-googAvailableSendBandwidth,5581564.0,5581564.0,5581564.0,5581564.0,5581564.0,5581564.0,5581564.0,5581564.0,5581564.0,5581564.0,5581564.0,5581564.0,5581564.0,5581564.0
bweforvideo-googBucketDelay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
timestamp,1541196508,1541196509,1541196510,1541196511,1541196512,1541196513,1541196514,1541196515,1541196516,1541196517,1541196518,1541196519,1541196520,1541196521
audio_bitsReceivedPerSecond,0.0,1121382.1138211382,1065145.1451451452,1075008.0,1035572.4275724276,1096920.920920921,1003096.0,1028392.0,954728.0,963664.0,1000104.0,956200.0,919744.0,986381.6183816184
audio_bitsSentPerSecond,0.0,1874081.300813008,1629125.125125125,1538656.0,1612379.6203796205,1600896.896896897,1660272.0,1575048.0,1518192.0,1482704.0,1490048.0,1535296.0,1502464.0,1439248.7512487513
audio_packetsSentPerSecond,0.0,354.6747967479675,340.34034034034033,329.0,335.6643356643357,338.33833833833836,340.0,333.0,334.0,331.0,328.0,332.0,332.0,321.67832167832165
audio_googLocalAddress,35.204.125.129:53366,35.204.125.129:53366,35.204.125.129:53366,35.204.125.129:53366,35.204.125.129:53366,35.204.125.129:53366,35.204.125.129:53366,35.204.125.129:53366,35.204.125.129:53366,35.204.125.129:53366,35.204.125.129:53366,35.204.125.129:53366,35.204.125.129:53366,35.204.125.129:53366
audio_googRemoteAddress,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000
audio_googRtt,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,14.0,14.0,14.0
audio_send_bitsSentPerSecond,0.0,40414.634146341465,40440.44044044044,40400.0,40207.792207792205,40592.59259259259,40096.0,40704.0,40360.0,40440.0,40400.0,40112.0,40568.0,40479.52047952048
audio_send_packetsLost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
audio_send_packetsSentPerSecond,0.0,49.796747967479675,50.050050050050054,50.0,49.95004995004995,50.050050050050054,50.0,50.0,50.0,50.0,50.0,50.0,50.0,49.95004995004995
audio_send_googJitterReceived,8.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
audio_send_googRtt,30.0,30.0,51.0,51.0,51.0,51.0,51.0,51.0,30.0,30.0,30.0,30.0,30.0,31.0
video_send_bitsSentPerSecond,0.0,1810991.8699186991,1567695.6956956957,1474280.0,1552055.944055944,1536592.5925925926,1598696.0,1511776.0,1457712.0,1415512.0,1428328.0,1473096.0,1441440.0,1376463.5364635366
video_send_packetsLost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
video_send_packetsSentPerSecond,0.0,279.4715447154472,261.26126126126127,248.0,258.7412587412587,259.25925925925924,259.0,256.0,256.0,249.0,247.0,255.0,253.0,243.75624375624375
video_send_googEncodeUsagePercent,64.0,64.0,64.0,57.0,54.0,52.0,50.0,48.0,47.0,46.0,45.0,44.0,43.0,43.0
video_send_googFrameHeightSent,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0
video_send_googFrameRateSent,59.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
video_send_googFrameWidthSent,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0
video_send_googRtt,17.0,19.0,17.0,18.0,17.0,16.0,15.0,18.0,17.0,17.0,17.0,16.0,15.0,15.0
audio_recv_bitsReceivedPerSecond,0.0,26048.780487804877,13093.093093093094,16064.0,10629.37062937063,12076.076076076077,13128.0,17240.0,23400.0,13504.0,14128.0,18344.0,14672.0,25814.185814185814
audio_recv_packetsReceivedPerSecond,0.0,50.8130081300813,23.023023023023022,29.0,17.982017982017982,16.016016016016017,14.0,19.0,27.0,14.0,15.0,21.0,16.0,29.97002997002997
audio_recv_googCurrentDelayMs,59.0,46.0,36.0,32.0,34.0,29.0,28.0,48.0,36.0,31.0,28.0,43.0,31.0,43.0
audio_recv_googJitterBufferMs,35.0,42.0,6.0,3.0,1.0,2.0,3.0,3.0,3.0,2.0,3.0,30.0,2.0,5.0
audio_recv_googJitterReceived,11.0,11.0,10.0,10.0,10.0,10.0,42.0,42.0,42.0,34.0,34.0,34.0,34.0,34.0
audio_recv_googPreferredJitterBufferMs,20.0,20.0,420.0,420.0,320.0,340.0,340.0,320.0,320.0,320.0,340.0,420.0,440.0,440.0
video_recv_bitsReceivedPerSecond,0.0,1072886.1788617887,1026738.7387387387,1037912.0,1000927.0729270729,1062446.4464464465,967560.0,990728.0,906744.0,926240.0,962896.0,917464.0,881336.0,938421.5784215784
video_recv_packetsReceivedPerSecond,0.0,140.2439024390244,135.13513513513513,137.0,131.86813186813185,138.13813813813815,128.0,135.0,120.0,122.0,129.0,126.0,120.0,119.88011988011988
video_recv_googCurrentDelayMs,78.0,81.0,81.0,79.0,79.0,77.0,75.0,73.0,71.0,68.0,67.0,67.0,67.0,66.0
