video_recv_googFrameRateReceived,60.0,60.0,60.0,56.0,60.0,60.0,60.0,60.0,59.0,60.0,60.0,60.0
video_recv_googFrameWidthReceived,480.0,480.0,480.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0
video_recv_googInterframeDelayMax,49.0,22.0,18.0,65.0,19.0,18.0,19.0,19.0,26.0,18.0,19.0,19.0
video_recv_googJitterBufferMs,70.0,69.0,67.0,63.0,60.0,58.0,55.0,54.0,53.0,52.0,51.0,50.0
video_recv_googPlisSent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
video_send_resolutionChangesSent,0,0,0,0,0,0,0,0,0,0,0,0
video_recv_resolutionChangesReceived,1,1,1,2,2,2,2,2,2,2,2,2
1_way_delay_audio_send,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5
1_way_delay_video_send,8.0,8.0,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5
ear_ear_delay_audio_send,16.5,14.5,18.5,16.5,9.5,14.5,9.5,10.5,15.5,13.5,18.5,13.5
audio_recv_kbitsReceivedPerSecond,25,26,25,16,14,35,41,40,41,41,41,40
video_recv_kbitsReceivedPerSecond,374,437,386,980,943,962,976,1013,852,879,904,910
audio_packet_loss_percentage_send,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e_model_audio_send,93.804,93.852,93.756,93.804,93.97200000000001,93.852,93.97200000000001,93.94800000000001,93.828,93.876,93.756
kpi_audio_synchronization,4.420670461442753,4.421548724676544,4.419788281943489,4.420670461442753,4.423727218617665,4.421548724676544,4.423727218617665,4.423293483768257,4.4211100828831364,4.421986386242368,4.419788281943489
eye_eye_delay_video_send,53.0,52.0,50.5,50.5,49.5,49.5,49.5,48.5,48.5,48.5,48.5,48.5
kpi_video_synchronization,5,5,5,5,5,5,5,5,5,5,5,5
av_delay_send,-36.5,-37.5,-32.0,-34.0,-40.0,-35.0,-40.0,-38.0,-33.0,-35.0,-30.0,-35.0
kpi_av_synchronization,5,5,5,5,5,5,5,5,5,5,5,5
kpi_resolution_stability,2.8625312525562046,2.8625312525562046,2.8625312525562046,2.8625312525562046,2.8625312525562046,2.8625312525562046,2.8625312525562046,2.8625312525562046,2.8625312525562046,2.8625312525562046,2.8625312525562046,2.8625312525562046
max_resolution_percentage,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0
kpi_resolution_stability_norm,2.8625312525562046,2.8625312525562046,2.8625312525562046,2.8625312525562046,2.8625312525562046,2.8625312525562046,2.8625312525562046,2.8625312525562046,2.8625312525562046,2.8625312525562046,2.8625312525562046,2.8625312525562046
max_resolution_percentage_norm,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0
kpi_fps_stability,5,5,5,5,5,5,5,5,5,5,5,5
kpi_q_audio,4,4,4,3,2,5,5,5,5,5,5,5
kpi_q_video,2.65,2.9499999999999997,2.6999999999999997,3.4985714285714287,3.4614285714285713,3.48,3.4892857142857143,3.5264285714285712,3.3778571428571427,3.4057142857142857,3.4242857142857144,3.4335714285714287
qoe_simple_normal,3.8772967179380835,3.927394302741838,3.8855320313270543,4.018725289366656,4.01287445286228,4.015727636075171,4.017517310005137,4.0236595934345685,3.9986550885743166,4.003395312757088,4.006246317041341
qoe_simple_smooth,3.9856300512714173,4.085727636075171,4.0021986979937205,4.26848719412856,4.2564458814337085,4.262394302741838,4.265731595719423,4.27806435533933,4.228297945717173,4.237681027042803,4.2436272694222925
