bweforvideo-googAvailableReceiveBandwidth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bweforvideo-googAvailableSendBandwidth,4007226.0,4007226.0,4007226.0,4007226.0,4007226.0,4007226.0,4007226.0,4007226.0,4007226.0,4007226.0,4007226.0,4007226.0,4007226.0,4007226.0,4007226.0,4007226.0,4007226.0,4007226.0,4007226.0,4007226.0,4007226.0,4007226.0,2988189.0,2988189.0,2988189.0,2988189.0,2988189.0,2988189.0,2988189.0,2988189.0,2988189.0,2988189.0,2988189.0,2988189.0,2988189.0,2988189.0,2988189.0,2988189.0,2988189.0,2988189.0,2988189.0,2988189.0,2988189.0,2988189.0
bweforvideo-googBucketDelay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
timestamp,1541192805,1541192806,1541192807,1541192808,1541192809,1541192810,1541192811,1541192812,1541192813,1541192814,1541192815,1541192816,1541192817,1541192818,1541192819,1541192820,1541192821,1541192822,1541192823,1541192824,1541192825,1541192826,1541192805,1541192806,1541192807,1541192808,1541192809,1541192810,1541192811,1541192812,1541192813,1541192814,1541192815,1541192816,1541192817,1541192818,1541192819,1541192820,1541192821,1541192822,1541192823,1541192824,1541192825,1541192826
audio_bitsReceivedPerSecond,0.0,1150110.2362204725,1062047.619047619,1092136.0,1076480.0,1062232.0,1028848.0,1003528.0,946360.0,983080.0,976016.0,1000696.0,932808.0,982056.0,979168.0,1019880.0,1001136.0,956032.0,945272.0,958568.0,1006016.0,988920.0,1097997.5278121138,1062200.0,997888.0,1022352.0,1040960.0,1041408.0,967872.255489022,1005304.0,941266.5330661322,942449.5504495505,992656.6566566566,949344.0,904742.5149700599,972913.8276553106,962792.0,993638.3616383616,939288.0,995792.0,945632.0,928800.0,996696.0,944904.0
audio_bitsSentPerSecond,0.0,1747037.620297463,1590352.380952381,1533952.0,1643472.0,1583328.0,1560488.0,1598232.0,1457544.0,1426112.0,1500408.0,1507672.0,1465480.0,1438488.0,1535544.0,1492272.0,1520968.0,1606848.0,1424840.0,1417672.0,1496512.0,1499456.0,1797171.8170580964,1658320.0,1645248.0,1609168.0,1704528.0,1501784.0,1587624.750499002,1493152.0,1431454.9098196393,1598977.022977023,1468308.3083083082,1419080.0,1498922.1556886227,1510292.5851703407,1595056.0,1401438.5614385614,1563384.0,1481184.0,1431024.0,1619824.0,1480072.0,1448760.0
audio_packetsSentPerSecond,0.0,352.580927384077,345.23809523809524,338.0,343.0,338.0,338.0,340.0,332.0,322.0,331.0,335.0,327.0,324.0,332.0,325.0,329.0,343.0,330.0,322.0,330.0,328.0,354.7589616810878,348.0,344.0,340.0,347.0,333.0,346.3073852295409,332.0,323.64729458917833,341.65834165834167,330.33033033033036,320.0,323.3532934131737,329.65931863727457,331.0,316.68331668331666,337.0,326.0,325.0,340.0,325.0,325.0
audio_googLocalAddress,35.204.125.129:39318,35.204.125.129:39318,35.204.125.129:39318,35.204.125.129:39318,35.204.125.129:39318,35.204.125.129:39318,35.204.125.129:39318,35.204.125.129:39318,35.204.125.129:39318,35.204.125.129:39318,35.204.125.129:39318,35.204.125.129:39318,35.204.125.129:39318,35.204.125.129:39318,35.204.125.129:39318,35.204.125.129:39318,35.204.125.129:39318,35.204.125.129:39318,35.204.125.129:39318,35.204.125.129:39318,35.204.125.129:39318,35.204.125.129:39318,35.204.137.161:42885,35.204.137.161:42885,35.204.137.161:42885,35.204.137.161:42885,35.204.137.161:42885,35.204.137.161:42885,35.204.137.161:42885,35.204.137.161:42885,35.204.137.161:42885,35.204.137.161:42885,35.204.137.161:42885,35.204.137.161:42885,35.204.137.161:42885,35.204.137.161:42885,35.204.137.161:42885,35.204.137.161:42885,35.204.137.161:42885,35.204.137.161:42885,35.204.137.161:42885,35.204.137.161:42885,35.204.137.161:42885,35.204.137.161:42885
audio_googRemoteAddress,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000
audio_googRtt,21.0,21.0,21.0,19.0,19.0,18.0,18.0,18.0,17.0,17.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,17.0,17.0,16.0,16.0,20.0,20.0,20.0,20.0,18.0,18.0,18.0,18.0,18.0,17.0,17.0,17.0,16.0,16.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
audio_send_bitsSentPerSecond,0.0,15755.030621172353,18152.380952380954,16720.0,16720.0,16720.0,16720.0,16720.0,16720.0,16720.0,16720.0,16720.0,16720.0,16720.0,16720.0,16720.0,16720.0,16096.0,15184.0,16720.0,16720.0,16720.0,25077.8739184178,24952.0,25088.0,25000.0,25080.0,25088.0,25109.780439121758,25112.0,25170.340681362726,25198.8011988012,25193.193193193194,25600.0,24838.323353293414,25474.949899799598,25552.0,25134.865134865136,24880.0,25256.0,28320.0,40400.0,40400.0,40400.0
audio_send_packetsLost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
audio_send_packetsSentPerSecond,0.0,49.86876640419948,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,49.44375772558715,50.0,50.0,50.0,50.0,50.0,49.9001996007984,50.0,50.100200400801604,49.95004995004995,50.050050050050054,50.0,49.9001996007984,50.100200400801604,50.0,49.95004995004995,50.0,50.0,50.0,50.0,50.0,50.0
audio_send_googJitterReceived,111.0,111.0,111.0,99.0,99.0,99.0,99.0,99.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,96.0,96.0,96.0,96.0,96.0,9.0,9.0,9.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0
audio_send_googRtt,21.0,21.0,21.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,33.0,33.0,33.0,45.0,45.0,45.0,45.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
video_send_bitsSentPerSecond,0.0,1710957.130358705,1546961.9047619049,1497056.0,1602496.0,1545096.0,1519320.0,1561928.0,1411896.0,1390320.0,1459992.0,1470968.0,1425416.0,1401560.0,1495288.0,1456480.0,1480648.0,1570896.0,1382288.0,1381624.0,1456400.0,1463808.0,1750763.9060568602,1609184.0,1599512.0,1560480.0,1657768.0,1453056.0,1541604.7904191618,1442936.0,1383294.5891783568,1550545.4545454546,1422974.974974975,1372144.0,1453493.0139720559,1462252.50501002,1549688.0,1353502.4975024974,1518112.0,1433744.0,1379120.0,1556024.0,1420784.0,1385568.0
video_send_packetsLost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
video_send_packetsSentPerSecond,0.0,274.7156605424322,264.2857142857143,259.0,262.0,257.0,255.0,264.0,247.0,244.0,251.0,256.0,247.0,245.0,252.0,249.0,249.0,266.0,247.0,244.0,251.0,253.0,276.885043263288,266.0,265.0,259.0,267.0,253.0,266.4670658682635,250.0,243.4869739478958,261.7382617382617,252.25225225225225,244.0,243.5129740518962,251.50300601202406,254.0,237.76223776223776,258.0,249.0,245.0,261.0,250.0,246.0
video_send_googEncodeUsagePercent,64.0,64.0,60.0,57.0,54.0,52.0,50.0,48.0,47.0,46.0,45.0,44.0,43.0,43.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,64.0,64.0,58.0,55.0,53.0,51.0,49.0,47.0,46.0,45.0,45.0,45.0,44.0,44.0,43.0,43.0,43.0,43.0,44.0,44.0,44.0,45.0
video_send_googFrameHeightSent,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0
video_send_googFrameRateSent,61.0,60.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
video_send_googFrameWidthSent,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0
video_send_googRtt,29.0,31.0,26.0,23.0,23.0,21.0,19.0,18.0,17.0,17.0,16.0,16.0,16.0,16.0,17.0,16.0,16.0,16.0,17.0,16.0,16.0,16.0,31.0,26.0,23.0,30.0,25.0,22.0,22.0,20.0,20.0,19.0,20.0,18.0,19.0,18.0,18.0,17.0,16.0,17.0,17.0,16.0,15.0,15.0
