audio_send_packetsLost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
audio_send_packetsSentPerSecond,0.0,49.91680532445923,49.9359795134443,49.85044865403788,50.150451354062184,50.0,50.0,50.0,49.71002485501243,50.0,50.0,50.0,50.0,50.0,50.0,50.050050050050054
audio_send_googJitterReceived,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,99.0,113.0,113.0,113.0,113.0,113.0,113.0,97.0
audio_send_googRtt,111.0,111.0,111.0,49.0,49.0,49.0,49.0,127.0,22.0,140.0,140.0,140.0,140.0,140.0,140.0,17.0
video_send_bitsSentPerSecond,0.0,2631846.921797005,2795144.686299616,2856733.7986041876,2571739.217652959,2564136.0,2325104.0,2430128.0,1801166.5285832642,1663292.3076923077,1577584.0,1604104.0,1621920.0,1513488.0,1609144.0,1408600.6006006007
video_send_packetsLost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
video_send_packetsSentPerSecond,0.0,356.90515806988356,371.3188220230474,395.8125623130608,367.1013039117352,367.0,324.0,349.0,282.51864125932065,273.0769230769231,262.0,265.0,265.0,255.0,270.0,247.24724724724726
video_send_googEncodeUsagePercent,64.0,64.0,71.0,74.0,75.0,75.0,77.0,76.0,64.0,64.0,59.0,56.0,54.0,52.0,51.0,50.0
video_send_googFrameHeightSent,720.0,720.0,720.0,720.0,720.0,720.0,720.0,720.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0
video_send_googFrameRateSent,45.0,50.0,51.0,57.0,58.0,59.0,53.0,57.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
video_send_googFrameWidthSent,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0
