bweforvideo-googAvailableReceiveBandwidth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bweforvideo-googAvailableSendBandwidth,124547.0,129827.0,129827.0,139095.0,129922.0,105843.0,96333.0,96333.0,96333.0,105040.0,83866.0,91575.0,99901.0,108893.0,118604.0,127759.0,127759.0,127759.0,129107.0,130567.0,134451.0,138605.0,143140.0,92611.0,92756.0,130807.0,135278.0,140816.0,148893.0,159129.0,172859.0,187688.0,138938.0,141327.0,143948.0,122400.0,122588.0,95653.0,98985.0,103053.0,107049.0,111062.0,116000.0,122226.0,130611.0,139754.0,88272.0,93014.0,67383.0,73774.0
bweforvideo-googBucketDelay,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
timestamp,1541181946,1541181947,1541181948,1541181949,1541181950,1541181951,1541181952,1541181953,1541181954,1541181955,1541181956,1541181957,1541181958,1541181959,1541181960,1541181961,1541181962,1541181963,1541181964,1541181965,1541181966,1541181967,1541181968,1541181969,1541181970,1541181946,1541181947,1541181948,1541181949,1541181950,1541181951,1541181952,1541181953,1541181954,1541181955,1541181956,1541181957,1541181958,1541181959,1541181960,1541181961,1541181962,1541181963,1541181964,1541181965,1541181966,1541181967,1541181968,1541181969,1541181970
audio_bitsReceivedPerSecond,0.0,166130.24085637822,141613.87283236993,171544.0,169688.0,205768.0,194848.0,213984.0,195752.0,172640.0,186584.0,177216.0,141328.0,136288.0,132176.0,139392.0,130296.0,159944.0,150464.0,147648.0,170216.0,157248.0,114408.0,111808.0,99712.0,35602.43407707911,73654.34565434566,9480.0,76456.0,147896.0,165368.0,186472.0,179896.0,166625.37462537462,153202.40480961924,155084.9150849151,167968.0,151384.0,173648.0,170856.0,180803.1968031968,180436.43643643643,183576.0,185041.04104104105,162829.17082917082,154296.0,181904.0,164784.0,141176.0,116928.0
audio_bitsSentPerSecond,0.0,67282.78322925958,0.0,75304.0,140688.0,156576.0,193280.0,132288.0,117760.0,131968.0,129024.0,122912.0,124672.0,120456.0,125424.0,143568.0,164704.0,158424.0,181528.0,162024.0,163328.0,181280.0,173280.0,162720.0,136744.0,168738.33671399593,174801.1988011988,153536.0,178048.0,174400.0,215912.0,213608.0,215296.0,181810.1898101898,189330.6613226453,187932.06793206793,159816.0,147232.0,137592.0,135984.0,143912.0879120879,136160.16016016016,164560.0,151431.43143143144,154365.63436563435,173224.0,156784.0,121048.0,108488.0,104504.0
audio_packetsSentPerSecond,0.0,127.56467439785905,128.32369942196533,130.0,128.0,127.0,121.0,128.0,97.0,110.0,123.0,99.0,94.0,121.0,126.0,127.0,127.0,128.0,133.0,128.0,128.0,130.0,127.0,124.0,124.0,117.6470588235294,123.87612387612387,113.0,123.0,126.0,132.0,130.0,135.0,128.87112887112886,125.25050100200401,127.87212787212788,121.0,130.0,125.0,124.0,113.88611388611389,123.12312312312312,129.0,127.12712712712712,128.87112887112886,128.0,113.0,122.0,117.0,122.0
audio_googLocalAddress,35.204.125.129:44352,35.204.125.129:44352,35.204.125.129:44352,35.204.125.129:44352,35.204.125.129:44352,35.204.125.129:44352,35.204.125.129:44352,35.204.125.129:44352,35.204.125.129:44352,35.204.125.129:44352,35.204.125.129:44352,35.204.125.129:44352,35.204.125.129:44352,35.204.125.129:44352,35.204.125.129:44352,35.204.125.129:44352,35.204.125.129:44352,35.204.125.129:44352,35.204.125.129:44352,35.204.125.129:44352,35.204.125.129:44352,35.204.125.129:44352,35.204.125.129:44352,35.204.125.129:44352,35.204.125.129:44352,35.204.137.161:46932,35.204.137.161:46932,35.204.137.161:46932,35.204.137.161:46932,35.204.137.161:46932,35.204.137.161:46932,35.204.137.161:46932,35.204.137.161:46932,35.204.137.161:46932,35.204.137.161:46932,35.204.137.161:46932,35.204.137.161:46932,35.204.137.161:46932,35.204.137.161:46932,35.204.137.161:46932,35.204.137.161:46932,35.204.137.161:46932,35.204.137.161:46932,35.204.137.161:46932,35.204.137.161:46932,35.204.137.161:46932,35.204.137.161:46932,35.204.137.161:46932,35.204.137.161:46932,35.204.137.161:46932
audio_googRemoteAddress,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000
audio_googRtt,2369.0,2369.0,2369.0,3918.0,3918.0,3918.0,4546.0,4546.0,4173.0,4173.0,3774.0,3774.0,3331.0,3331.0,2808.0,2808.0,2229.0,2229.0,1709.0,1709.0,1285.0,1285.0,1285.0,972.0,972.0,458.0,347.0,347.0,264.0,264.0,264.0,202.0,202.0,168.0,168.0,168.0,137.0,137.0,106.0,106.0,106.0,83.0,83.0,66.0,66.0,66.0,70.0,70.0,56.0,56.0
audio_send_bitsSentPerSecond,0.0,14786.797502230153,16397.687861271676,15472.0,15064.0,15472.0,15336.0,15416.0,16184.0,16240.0,15712.0,16264.0,16328.0,15768.0,15560.0,14640.0,15472.0,16080.0,15472.0,15472.0,15472.0,15616.0,16120.0,15520.0,16288.0,15967.545638945234,16375.624375624375,16384.0,16384.0,16384.0,16352.0,15376.0,17352.0,16335.664335664336,16392.785571142285,16231.768231768232,16640.0,16096.0,14480.0,16456.0,16471.528471528472,15287.287287287287,17248.0,16288.288288288288,15904.095904095904,16576.0,15264.0,15472.0,15808.0,16472.0
audio_send_packetsLost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
audio_send_packetsSentPerSecond,0.0,49.95539696699375,49.71098265895954,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,49.0,51.0,49.69574036511156,49.95004995004995,50.0,50.0,50.0,50.0,49.0,51.0,49.95004995004995,50.100200400801604,49.95004995004995,50.0,50.0,50.0,50.0,49.95004995004995,49.049049049049046,51.0,50.050050050050054,49.95004995004995,50.0,50.0,50.0,50.0,50.0
audio_send_googJitterReceived,167.0,167.0,167.0,167.0,235.0,235.0,235.0,235.0,235.0,235.0,235.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,98.0,98.0,98.0,98.0,98.0,96.0,96.0,96.0,96.0,96.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
audio_send_googRtt,2568.0,2568.0,2568.0,2568.0,6719.0,6719.0,6719.0,6719.0,6719.0,6719.0,6719.0,2351.0,2351.0,2351.0,2351.0,2351.0,2351.0,2351.0,488.0,488.0,488.0,488.0,488.0,488.0,488.0,3135.0,3135.0,3135.0,3135.0,3135.0,3135.0,3135.0,3135.0,3221.0,3221.0,3221.0,3221.0,3221.0,1796.0,1796.0,1796.0,1796.0,1796.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0
video_send_bitsSentPerSecond,0.0,145705.6199821588,144425.43352601156,128872.0,142944.0,136880.0,169392.0,104816.0,88048.0,104984.0,95776.0,92288.0,101136.0,93368.0,100464.0,116472.0,139400.0,129520.0,152200.0,133856.0,137560.0,152744.0,147392.0,135544.0,111904.0,144462.47464503042,146949.05094905096,132272.0,150936.0,149088.0,185336.0,187304.0,183096.0,153622.37762237762,161723.44689378756,162237.76223776225,131344.0,116680.0,110808.0,110576.0,116195.8041958042,111351.35135135135,134320.0,123483.48348348348,124531.46853146853,146824.0,129664.0,97272.0,81848.0,79744.0
video_send_packetsLost,0.0,0.0,0.0,0.0,0.0,0.0,177.0,300.0,310.0,0.0,290.0,289.0,289.0,289.0,289.0,289.0,289.0,289.0,289.0,289.0,289.0,289.0,289.0,289.0,289.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
video_send_packetsSentPerSecond,0.0,59.76806422836753,60.115606936416185,60.0,60.0,61.0,58.0,62.0,29.0,46.0,58.0,34.0,33.0,57.0,60.0,60.0,60.0,60.0,63.0,60.0,60.0,60.0,60.0,60.0,60.0,58.8235294117647,60.93906093906094,60.0,60.0,60.0,60.0,60.0,63.0,58.94105894105894,61.122244488977955,59.94005994005994,55.0,60.0,59.0,60.0,49.95004995004995,59.05905905905906,61.0,60.06006006006006,59.94005994005994,60.0,47.0,59.0,55.0,60.0
video_send_googEncodeUsagePercent,16.0,15.0,14.0,14.0,13.0,12.0,12.0,11.0,11.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,15.0,15.0,14.0,13.0,13.0,12.0,12.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
video_send_googFrameHeightSent,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0
video_send_googFrameRateSent,60.0,60.0,60.0,60.0,60.0,60.0,42.0,59.0,29.0,46.0,58.0,34.0,33.0,57.0,59.0,59.0,59.0,59.0,60.0,59.0,59.0,59.0,59.0,59.0,59.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,60.0,61.0,61.0,56.0,61.0,60.0,61.0,50.0,60.0,61.0,61.0,61.0,61.0,48.0,59.0,56.0,61.0
video_send_googFrameWidthSent,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0
video_send_googRtt,3753.0,4417.0,4882.0,5208.0,5823.0,6554.0,7076.0,7001.0,6160.0,5492.0,4740.0,4110.0,3607.0,3162.0,2764.0,2322.0,1849.0,1549.0,1168.0,883.0,638.0,451.0,320.0,228.0,209.0,449.0,319.0,229.0,165.0,120.0,556.0,393.0,279.0,234.0,656.0,464.0,329.0,726.0,527.0,647.0,457.0,324.0,231.0,166.0,144.0,108.0,80.0,79.0,60.0,47.0
audio_recv_bitsReceivedPerSecond,0.0,10704.727921498661,4624.277456647399,7992.0,8000.0,7984.0,7984.0,7984.0,7984.0,7968.0,7984.0,7880.0,6968.0,6792.0,8000.0,7880.0,7896.0,7888.0,7904.0,7120.0,8000.0,7792.0,7160.0,7952.0,7936.0,0.0,3996.003996003996,0.0,4000.0,8000.0,9032.0,10320.0,5232.0,10741.258741258742,7879.759519038076,11012.987012987012,11816.0,7800.0,10968.0,11768.0,11636.363636363636,5821.821821821822,11096.0,8072.072072072072,7072.927072927073,7160.0,7704.0,7776.0,3832.0,7080.0
audio_recv_packetsReceivedPerSecond,0.0,10.704727921498662,4.624277456647399,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,7.0,8.0,8.0,0.0,3.996003996003996,0.0,4.0,8.0,9.0,10.0,5.0,10.989010989010989,8.016032064128256,10.989010989010989,12.0,8.0,11.0,12.0,11.988011988011989,6.006006006006006,11.0,8.008008008008009,6.993006993006993,7.0,8.0,8.0,4.0,7.0
audio_recv_googCurrentDelayMs,24.0,26.0,28.0,30.0,31.0,29.0,30.0,22.0,22.0,23.0,22.0,25.0,29.0,35.0,32.0,29.0,30.0,26.0,28.0,31.0,20.0,34.0,42.0,36.0,30.0,34.0,34.0,34.0,35.0,35.0,39.0,47.0,41.0,48.0,46.0,38.0,70.0,49.0,48.0,50.0,48.0,63.0,105.0,93.0,74.0,54.0,49.0,47.0,38.0,44.0
audio_recv_googJitterBufferMs,1.0,1.0,1.0,2.0,3.0,1.0,3.0,0.0,2.0,3.0,2.0,4.0,11.0,5.0,7.0,4.0,5.0,3.0,4.0,9.0,1.0,5.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,4.0,0.0,7.0,1.0,7.0,7.0,2.0,13.0,0.0,1.0,3.0,0.0,6.0,48.0,39.0,10.0,4.0,3.0,6.0,0.0,4.0
audio_recv_googJitterReceived,108.0,108.0,108.0,108.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,175.0,175.0,175.0,175.0,175.0,235.0,235.0,235.0,118.0,118.0,118.0,118.0,86.0,86.0,86.0,86.0,82.0,82.0,82.0,82.0,82.0,82.0,121.0,121.0,121.0
audio_recv_googPreferredJitterBufferMs,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0
video_recv_bitsReceivedPerSecond,0.0,144592.32827832294,132420.80924855493,152328.0,151080.0,182776.0,172720.0,192472.0,168096.0,152032.0,163528.0,151264.0,119456.0,114080.0,111800.0,115632.0,109432.0,137376.0,129104.0,121880.0,151080.0,134864.0,96416.0,89296.0,81504.0,26864.097363083165,56751.24875124875,0.0,62808.0,127776.0,142152.0,163040.0,163472.0,144007.992007992,134781.5631262525,131372.62737262738,143992.0,106808.0,148576.0,142864.0,154485.5144855145,164788.78878878878,157024.0,159911.9119119119,141042.95704295704,135832.0,161024.0,146872.0,123912.0,100224.0
video_recv_packetsReceivedPerSecond,0.0,59.76806422836753,60.115606936416185,60.0,60.0,60.0,60.0,59.0,62.0,59.0,55.0,63.0,60.0,59.0,60.0,50.0,60.0,60.0,61.0,59.0,60.0,49.0,53.0,60.0,59.0,14.198782961460447,29.97002997002997,0.0,31.0,58.0,68.0,67.0,67.0,64.93506493506493,51.102204408817634,64.93506493506493,60.0,62.0,50.0,77.0,83.91608391608392,73.07307307307308,73.0,65.06506506506507,62.93706293706294,58.0,63.0,59.0,53.0,53.0
