bweforvideo-googAvailableReceiveBandwidth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bweforvideo-googAvailableSendBandwidth,7283927.0,7283927.0,7283927.0,7283927.0,7283927.0,7283927.0,7283927.0,7283927.0,7283927.0,7283927.0,7283927.0,7283927.0,7283927.0,7283927.0,7283927.0,7283927.0,7283927.0,7283927.0,7283927.0,7283927.0,7283927.0,7283927.0,7283927.0,7283927.0,7283927.0,7283927.0,7283927.0,7283927.0,7283927.0,7283927.0,7283927.0,7283927.0,7283927.0,7283927.0,7283927.0,7283927.0,7283927.0,7283927.0,7283927.0,7283927.0,7283927.0,7283927.0,7283927.0,7283927.0,7283927.0,7283927.0,7283927.0,7283927.0,7283927.0,7283927.0,7283927.0,7283927.0,7283927.0,7283927.0,7283927.0,7283927.0,7283927.0,7283927.0
bweforvideo-googBucketDelay,0.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,5.0,0.0,3.0
timestamp,1546033802,1546033803,1546033804,1546033805,1546033806,1546033807,1546033808,1546033809,1546033810,1546033811,1546033812,1546033813,1546033814,1546033815,1546033816,1546033817,1546033818,1546033819,1546033820,1546033821,1546033822,1546033823,1546033824,1546033825,1546033826,1546033827,1546033828,1546033829,1546033830,1546033831,1546033832,1546033833,1546033834,1546033835,1546033836,1546033837,1546033838,1546033839,1546033840,1546033841,1546033842,1546033843,1546033844,1546033845,1546033846,1546033847,1546033848,1546033849,1546033850,1546033851,1546033852,1546033853,1546033854,1546033855,1546033856,1546033857,1546033858,1546033859
audio_bitsReceivedPerSecond,0.0,1107030.1568154404,1209341.6149068323,1145686.3136863136,1126168.0,1100824.0,1166001.998001998,1117653.6536536536,1166136.0,1136536.0,1169024.0,1114528.0,1110848.0,1147768.0,1127248.0,1092200.0,1172992.0,1122040.0,1167792.0,1139888.0,1168736.0,1109256.0,1107496.0,1158248.0,1123256.0,1099560.0,1173456.0,1101200.0,1175200.0,1135696.0,1159480.0,1118952.0,1109336.0,1160559.4405594405,1117317.3173173172,1098776.0,1174520.0,1102168.0,1176583.4165834165,1124504.0,1138496.0,1402048.0,958272.0,1120688.6886886887,1128576.0,1091544.0,1172256.0,1119432.0,1163176.0,1123832.0,1167392.0,1123240.0,1118512.0,1152280.0,1128384.0,1086432.0,1155696.0,1121400.0
audio_bitsSentPerSecond,0.0,1531667.0687575391,1365639.751552795,1478777.2227772227,1430840.0,1546920.0,1500443.5564435564,1552056.0560560562,1489280.0,1546632.0,1450648.0,1459192.0,1558296.0,1489128.0,1407000.0,1567216.0,1484392.0,1517560.0,1495104.0,1558848.0,1469248.0,1458264.0,1561136.0,1463688.0,1428768.0,1553704.0,1494624.0,1564392.0,1450048.0,1579976.0,1440224.0,1453232.0,1578320.0,1475196.8031968032,1434250.2502502503,1533256.0,1460336.0,1579408.0,1478401.5984015984,1532368.0,1467264.0,1493784.0,1632344.0,1407007.007007007,1392504.0,1509704.0,1518768.0,1574544.0,1462416.0,1573880.0,1446488.0,1452792.0,1568656.0,1500568.0,1414696.0,1487784.0,1531048.0,1552336.0
audio_packetsSentPerSecond,0.0,332.9312424607961,326.0869565217391,329.6703296703297,323.0,331.0,327.6723276723277,335.33533533533534,328.0,335.0,332.0,321.0,338.0,331.0,320.0,338.0,331.0,322.0,328.0,343.0,330.0,329.0,337.0,327.0,324.0,333.0,330.0,332.0,316.0,340.0,330.0,328.0,337.0,332.6673326673327,324.3243243243243,329.0,324.0,338.0,330.6693306693307,339.0,327.0,333.0,353.0,322.32232232232235,321.0,326.0,331.0,335.0,322.0,346.0,331.0,326.0,339.0,341.0,320.0,330.0,332.0,328.0
audio_googLocalAddress,35.204.47.190:51046,35.204.47.190:51046,35.204.47.190:51046,35.204.47.190:51046,35.204.47.190:51046,35.204.47.190:51046,35.204.47.190:51046,35.204.47.190:51046,35.204.47.190:51046,35.204.47.190:51046,35.204.47.190:51046,35.204.47.190:51046,35.204.47.190:51046,35.204.47.190:51046,35.204.47.190:51046,35.204.47.190:51046,35.204.47.190:51046,35.204.47.190:51046,35.204.47.190:51046,35.204.47.190:51046,35.204.47.190:51046,35.204.47.190:51046,35.204.47.190:51046,35.204.47.190:51046,35.204.47.190:51046,35.204.47.190:51046,35.204.47.190:51046,35.204.47.190:51046,35.204.47.190:51046,35.204.47.190:51046,35.204.47.190:51046,35.204.47.190:51046,35.204.47.190:51046,35.204.47.190:51046,35.204.47.190:51046,35.204.47.190:51046,35.204.47.190:51046,35.204.47.190:51046,35.204.47.190:51046,35.204.47.190:51046,35.204.47.190:51046,35.204.47.190:51046,35.204.47.190:51046,35.204.47.190:51046,35.204.47.190:51046,35.204.47.190:51046,35.204.47.190:51046,35.204.47.190:51046,35.204.47.190:51046,35.204.47.190:51046,35.204.47.190:51046,35.204.47.190:51046,35.204.47.190:51046,35.204.47.190:51046,35.204.47.190:51046,35.204.47.190:51046,35.204.47.190:51046,35.204.47.190:51046
audio_googRemoteAddress,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000
audio_googRtt,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
audio_recv_bitsReceivedPerSecond_3944992245,0.0,5524.728588661037,12298.136645962733,7072.927072927073,6600.0,6688.0,7600.399600399601,7223.223223223224,7056.0,7464.0,6096.0,6736.0,6560.0,6120.0,7112.0,7336.0,7280.0,7272.0,7400.0,7192.0,7232.0,7232.0,7560.0,7296.0,7048.0,6864.0,6896.0,6224.0,6688.0,6840.0,6664.0,6960.0,7088.0,7384.615384615385,6878.878878878879,7056.0,7392.0,7160.0,7192.807192807193,6240.0,7248.0,6968.0,5080.0,6814.814814814815,7232.0,7208.0,7192.0,7200.0,7256.0,7248.0,7096.0,7256.0,6360.0,7152.0,6368.0,6088.0,6064.0,7296.0
audio_recv_packetsReceivedPerSecond_3944992245,0.0,6.031363088057901,12.422360248447205,7.992007992007992,7.0,7.0,7.992007992007992,8.008008008008009,8.0,8.0,7.0,8.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,8.0,7.0,8.0,8.0,7.992007992007992,8.008008008008009,8.0,8.0,8.0,7.992007992007992,7.0,8.0,8.0,6.0,8.008008008008009,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,7.0,7.0,7.0,8.0
audio_recv_googCurrentDelayMs_3944992245,27.0,36.0,34.0,36.0,32.0,28.0,32.0,27.0,26.0,33.0,23.0,25.0,19.0,22.0,32.0,29.0,24.0,22.0,21.0,16.0,18.0,19.0,19.0,24.0,24.0,27.0,34.0,32.0,21.0,18.0,28.0,23.0,22.0,27.0,25.0,29.0,23.0,42.0,36.0,29.0,32.0,25.0,39.0,37.0,30.0,35.0,36.0,22.0,17.0,23.0,15.0,16.0,26.0,25.0,26.0,28.0,18.0,28.0
audio_recv_googJitterBufferMs_3944992245,11.0,11.0,11.0,10.0,6.0,1.0,8.0,3.0,4.0,7.0,0.0,5.0,1.0,5.0,4.0,6.0,5.0,3.0,5.0,1.0,4.0,7.0,6.0,1.0,2.0,0.0,11.0,9.0,2.0,1.0,2.0,1.0,4.0,2.0,2.0,2.0,1.0,14.0,11.0,2.0,5.0,0.0,6.0,3.0,3.0,3.0,9.0,2.0,0.0,8.0,0.0,3.0,2.0,6.0,3.0,9.0,1.0,3.0
audio_recv_googJitterReceived_3944992245,108.0,115.0,115.0,115.0,115.0,115.0,108.0,108.0,108.0,108.0,108.0,108.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,106.0,106.0,106.0,106.0,97.0,97.0,97.0,97.0,97.0,97.0,101.0,101.0,101.0,101.0,101.0,101.0,98.0,98.0,98.0,98.0,98.0,97.0,97.0,97.0,97.0,97.0,108.0
audio_recv_googPreferredJitterBufferMs_3944992245,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0
