bweforvideo-googAvailableReceiveBandwidth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bweforvideo-googAvailableSendBandwidth,2217585.0,2366575.0,2506989.0,2060221.0,2177325.0,2266881.0,2412043.0,2600983.0
bweforvideo-googBucketDelay,4.0,0.0,1.0,0.0,0.0,9.0,5.0,0.0
timestamp,1541192064,1541192065,1541192066,1541192067,1541192068,1541192069,1541192070,1541192071
audio_bitsReceivedPerSecond,0.0,1183148.0865224625,1049198.4635083226,1080167.4975074776,1004798.3951855566,1099408.0,1021392.0,1015984.0
audio_bitsSentPerSecond,0.0,2687747.0881863562,2862402.0486555696,2927298.105682951,2634888.665997994,2624280.0,2389784.0,2498096.0
audio_packetsSentPerSecond,0.0,435.108153078203,455.8258642765685,480.55832502492524,440.320962888666,448.0,406.0,430.0
audio_googLocalAddress,35.204.125.129:33224,35.204.125.129:33224,35.204.125.129:33224,35.204.125.129:33224,35.204.125.129:33224,35.204.125.129:33224,35.204.125.129:33224,35.204.125.129:33224
audio_googRemoteAddress,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000
audio_googRtt,29.0,29.0,29.0,29.0,53.0,53.0,45.0,45.0
audio_recv_bitsReceivedPerSecond,0.0,9777.038269550749,4763.124199743918,7425.722831505484,7526.579739217653,7440.0,7512.0,7504.0
audio_recv_packetsReceivedPerSecond,0.0,9.983361064891847,5.121638924455826,7.976071784646062,8.02407221664995,8.0,8.0,8.0
audio_recv_googCurrentDelayMs,43.0,30.0,32.0,29.0,33.0,31.0,32.0,35.0
audio_recv_googJitterBufferMs,9.0,0.0,4.0,2.0,43.0,0.0,1.0,3.0
audio_recv_googJitterReceived,113.0,113.0,108.0,108.0,108.0,108.0,108.0,108.0
audio_recv_googPreferredJitterBufferMs,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0
video_recv_bitsReceivedPerSecond,0.0,1147560.7321131448,1023108.8348271446,1045607.1784646062,979891.6750250752,1069608.0,989328.0,986920.0
video_recv_packetsReceivedPerSecond,0.0,149.7504159733777,134.44302176696542,136.5902293120638,128.3851554663992,138.0,127.0,133.0
video_recv_googCurrentDelayMs,69.0,68.0,68.0,67.0,69.0,68.0,65.0,62.0
video_recv_googDecodeMs,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0
video_recv_googFrameHeightReceived,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0
video_recv_googFrameRateOutput,52.0,61.0,61.0,60.0,45.0,60.0,61.0,60.0
video_recv_googFrameRateReceived,58.0,60.0,60.0,59.0,48.0,61.0,59.0,61.0
video_recv_googFrameWidthReceived,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0
video_recv_googInterframeDelayMax,134.0,19.0,20.0,22.0,390.0,19.0,19.0,19.0
video_recv_googJitterBufferMs,46.0,46.0,46.0,46.0,50.0,49.0,47.0,45.0
video_recv_googPlisSent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
audio_send_bitsSentPerSecond,0.0,29950.083194675542,40655.56978233035,40406.779661016946,40417.251755265796,32040.0,40400.0,40568.0
audio_send_packetsLost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
audio_send_packetsSentPerSecond,0.0,49.91680532445923,49.9359795134443,49.85044865403788,50.150451354062184,50.0,50.0,50.0
audio_send_googJitterReceived,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0
audio_send_googRtt,111.0,111.0,111.0,49.0,49.0,49.0,49.0,127.0
video_send_bitsSentPerSecond,0.0,2631846.921797005,2795144.686299616,2856733.7986041876,2571739.217652959,2564136.0,2325104.0,2430128.0
video_send_packetsLost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
video_send_packetsSentPerSecond,0.0,356.90515806988356,371.3188220230474,395.8125623130608,367.1013039117352,367.0,324.0,349.0
video_send_googEncodeUsagePercent,64.0,64.0,71.0,74.0,75.0,75.0,77.0,76.0
video_send_googFrameHeightSent,720.0,720.0,720.0,720.0,720.0,720.0,720.0,720.0
video_send_googFrameRateSent,45.0,50.0,51.0,57.0,58.0,59.0,53.0,57.0
