bweforvideo-googAvailableReceiveBandwidth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bweforvideo-googAvailableSendBandwidth,202491.0,202491.0,202491.0,202491.0,190645.0,190645.0,190645.0,175378.0,190408.0,190408.0,190408.0,194189.0,210724.0,228582.0,228582.0,195584.0,195584.0,195584.0,195584.0,152800.0,152800.0,152800.0,166024.0,161044.0,161044.0,161044.0,174928.0,174928.0,142470.0,142470.0,142470.0,131617.0
bweforvideo-googBucketDelay,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
timestamp,1541182440,1541182441,1541182442,1541182443,1541182444,1541182445,1541182446,1541182447,1541182448,1541182449,1541182450,1541182451,1541182452,1541182453,1541182454,1541182455,1541182456,1541182457,1541182458,1541182459,1541182460,1541182461,1541182462,1541182463,1541182464,1541182465,1541182466,1541182467,1541182468,1541182469,1541182470,1541182471
audio_bitsReceivedPerSecond,0.0,128452.98281092012,101192.0,161336.0,186392.0,197280.0,193233.23323323324,200527.47252747254,167040.0,173264.0,189744.0,173664.0,114309.69030969031,95783.78378378379,161800.0,182488.0,186305.88235294117,188281.34556574924,193416.0,171819.81981981982,175336.66333666333,178698.6986986987,148827.17282717282,114104.0,165832.0,195075.0750750751,183136.0,179420.57942057942,137865.86586586587,181354.64535464536,129017.01701701702,109970.02997002997
audio_bitsSentPerSecond,0.0,129496.46107178969,142896.0,224240.0,211920.0,161624.0,216576.57657657657,220963.03696303695,209304.0,181672.0,191840.0,155528.0,117866.13386613387,186114.1141141141,174456.0,221208.0,207278.431372549,183926.60550458715,213128.0,205517.51751751752,192351.64835164836,145017.01701701703,173090.9090909091,124736.0,180880.0,147811.8118118118,166616.0,183632.36763236762,173677.67767767768,188595.4045954046,178578.57857857857,130789.21078921079
audio_packetsSentPerSecond,0.0,131.4459049544995,132.0,136.0,141.0,138.0,141.14114114114113,137.86213786213787,137.0,133.0,137.0,131.0,130.86913086913086,123.12312312312312,136.0,136.0,144.11764705882354,139.6534148827727,136.0,136.13613613613614,137.86213786213787,129.12912912912913,129.87012987012986,129.0,132.0,133.13313313313313,132.0,136.86313686313687,130.13013013013014,131.86813186813185,130.13013013013014,105.89410589410589
audio_googLocalAddress,35.204.137.161:34788,35.204.137.161:34788,35.204.137.161:34788,35.204.137.161:34788,35.204.137.161:34788,35.204.137.161:34788,35.204.137.161:34788,35.204.137.161:34788,35.204.137.161:34788,35.204.137.161:34788,35.204.137.161:34788,35.204.137.161:34788,35.204.137.161:34788,35.204.137.161:34788,35.204.137.161:34788,35.204.137.161:34788,35.204.137.161:34788,35.204.137.161:34788,35.204.137.161:34788,35.204.137.161:34788,35.204.137.161:34788,35.204.137.161:34788,35.204.137.161:34788,35.204.137.161:34788,35.204.137.161:34788,35.204.137.161:34788,35.204.137.161:34788,35.204.137.161:34788,35.204.137.161:34788,35.204.137.161:34788,35.204.137.161:34788,35.204.137.161:34788
audio_googRemoteAddress,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000
audio_googRtt,2937.0,3058.0,3058.0,3058.0,3058.0,3058.0,3058.0,3058.0,3044.0,3044.0,3044.0,3044.0,3044.0,3044.0,3285.0,3285.0,3285.0,3285.0,3285.0,3254.0,3254.0,3281.0,3281.0,3281.0,3451.0,3451.0,3451.0,3539.0,3539.0,3516.0,3516.0,3516.0
