bweforvideo-googAvailableReceiveBandwidth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bweforvideo-googAvailableSendBandwidth,5615008.0,5615008.0,5615008.0,5615008.0,5615008.0,5615008.0,5615008.0,5615008.0,5615008.0,5615008.0,5615008.0,5615008.0,5615008.0,5615008.0,5615008.0,5615008.0,5615008.0,5615008.0,5615008.0,5615008.0,5615008.0,5615008.0,5615008.0,3149757.0,3149757.0,3149757.0,3149757.0,3149757.0,3149757.0,3149757.0,3149757.0,3149757.0,3149757.0,3149757.0,3149757.0,3149757.0,3149757.0,3149757.0,3149757.0,3149757.0,3149757.0,3149757.0,3149757.0,3149757.0,3149757.0,3149757.0
bweforvideo-googBucketDelay,0.0,5.0,0.0,2.0,2.0,2.0,3.0,1.0,2.0,0.0,2.0,2.0,0.0,3.0,2.0,1.0,3.0,3.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0
timestamp,1541193298,1541193299,1541193300,1541193301,1541193302,1541193303,1541193304,1541193305,1541193306,1541193307,1541193308,1541193309,1541193310,1541193311,1541193312,1541193313,1541193314,1541193315,1541193316,1541193317,1541193318,1541193319,1541193320,1541193298,1541193299,1541193300,1541193301,1541193302,1541193303,1541193304,1541193305,1541193306,1541193307,1541193308,1541193309,1541193310,1541193311,1541193312,1541193313,1541193314,1541193315,1541193316,1541193317,1541193318,1541193319,1541193320
audio_bitsReceivedPerSecond,0.0,1145548.8105004102,1002348.6238532111,1027776.0,1010560.0,1079144.0,975896.0,1037648.0,944047.9520479521,946658.6586586586,985104.0,935040.959040959,906008.0,968568.0,949744.0,1002304.0,936656.0,988664.0,940776.0,945320.0,994144.0,908160.0,967152.0,994460.7420189818,1056552.6036131775,980382.6086956522,1052631.111111111,990321.3114754099,1050070.4934541793,972395.6043956043,1018550.4950495049,921488.3720930233,945705.7057057057,991233.5329341317,936218.2502351834,914219.8505869798,977928.0,949570.4295704296,989829.8298298299,949064.0,993784.0,940760.0,943824.0,997597.5975975976,942984.0,157995.24187153054
audio_bitsSentPerSecond,0.0,1657299.4257588186,1655192.6605504588,1527392.0,1582256.0,1581184.0,1655592.0,1450008.0,1593686.3136863136,1514346.3463463464,1381200.0,1573826.1738261739,1500104.0,1374136.0,1500072.0,1495872.0,1581760.0,1408152.0,1558840.0,1488528.0,1410672.0,1630176.0,1415920.0,1635623.8136324417,1550129.6493092454,1588304.347826087,1581617.7777777778,1682553.005464481,1571915.407854985,1522037.962037962,1477774.2574257427,1434103.134479272,1535607.6076076075,1449237.5249500999,1411333.9604891816,1536785.485592316,1465168.0,1545846.1538461538,1477109.109109109,1533992.0,1477888.0,1459912.0,1525072.0,1461877.8778778778,1464544.0,158261.69706582077
audio_packetsSentPerSecond,0.0,343.72436423297785,347.3132372214941,332.0,342.0,334.0,347.0,326.0,345.65434565434566,340.34034034034033,319.0,339.6603396603397,336.0,317.0,328.0,328.0,333.0,318.0,334.0,337.0,324.0,346.0,319.0,343.8308886971527,335.8129649309245,338.04347826086956,335.55555555555554,349.72677595628414,339.37562940584087,335.6643356643357,331.6831683168317,321.5369059656218,336.33633633633633,329.34131736526945,325.49388523047975,334.04482390608325,328.0,328.6713286713287,324.3243243243243,336.0,330.0,327.0,335.0,328.3283283283283,326.0,49.960348929421095
audio_googLocalAddress,35.204.125.129:50404,35.204.125.129:50404,35.204.125.129:50404,35.204.125.129:50404,35.204.125.129:50404,35.204.125.129:50404,35.204.125.129:50404,35.204.125.129:50404,35.204.125.129:50404,35.204.125.129:50404,35.204.125.129:50404,35.204.125.129:50404,35.204.125.129:50404,35.204.125.129:50404,35.204.125.129:50404,35.204.125.129:50404,35.204.125.129:50404,35.204.125.129:50404,35.204.125.129:50404,35.204.125.129:50404,35.204.125.129:50404,35.204.125.129:50404,35.204.125.129:50404,35.204.137.161:50415,35.204.137.161:50415,35.204.137.161:50415,35.204.137.161:50415,35.204.137.161:50415,35.204.137.161:50415,35.204.137.161:50415,35.204.137.161:50415,35.204.137.161:50415,35.204.137.161:50415,35.204.137.161:50415,35.204.137.161:50415,35.204.137.161:50415,35.204.137.161:50415,35.204.137.161:50415,35.204.137.161:50415,35.204.137.161:50415,35.204.137.161:50415,35.204.137.161:50415,35.204.137.161:50415,35.204.137.161:50415,35.204.137.161:50415,35.204.137.161:50415
audio_googRemoteAddress,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000
audio_googRtt,24.0,22.0,22.0,22.0,20.0,20.0,19.0,19.0,19.0,18.0,18.0,17.0,17.0,17.0,16.0,16.0,16.0,16.0,16.0,15.0,15.0,15.0,15.0,24.0,24.0,22.0,22.0,22.0,20.0,20.0,19.0,19.0,19.0,18.0,18.0,17.0,17.0,17.0,16.0,16.0,16.0,16.0,16.0,15.0,15.0,15.0
