bweforvideo-googAvailableReceiveBandwidth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bweforvideo-googAvailableSendBandwidth,442139.0,477251.0,516431.0,558745.0,602857.0,652086.0,703402.0,433808.0,449521.0,477850.0,508397.0,539107.0,572593.0,597633.0,623318.0,650047.0,677341.0,368950.0,387074.0,419040.0,453563.0,490848.0,529756.0,573136.0,618290.0,668753.0,723253.0,782113.0,750290.0,776856.0,702141.0,732556.0,431240.0,443934.0,472047.0,500941.0,530458.0,562731.0,589570.0,613415.0,517837.0,558889.0,385742.0,399567.0,432532.0,466968.0,505325.0,545378.0,590008.0,635883.0,591616.0,616505.0,642401.0,670034.0,698740.0,729235.0,764662.0,500844.0,513424.0,541798.0,573596.0
bweforvideo-googBucketDelay,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,2.0,3.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,1.0,2.0,3.0,3.0,0.0,3.0,0.0,0.0,4.0,3.0,3.0,4.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0
timestamp,1546027190,1546027191,1546027192,1546027193,1546027194,1546027195,1546027196,1546027197,1546027198,1546027199,1546027200,1546027201,1546027202,1546027203,1546027204,1546027205,1546027206,1546027207,1546027208,1546027209,1546027210,1546027211,1546027212,1546027213,1546027214,1546027215,1546027216,1546027217,1546027218,1546027219,1546027220,1546027221,1546027222,1546027223,1546027224,1546027225,1546027226,1546027227,1546027228,1546027229,1546027230,1546027231,1546027232,1546027233,1546027234,1546027235,1546027236,1546027237,1546027238,1546027239,1546027240,1546027241,1546027242,1546027243,1546027244,1546027245,1546027246,1546027247,1546027248,1546027249,1546027250
audio_bitsReceivedPerSecond,695464.0,678526.5265265265,642413.5864135864,528312.0,562808.0,619875.8758758758,638521.4785214785,690480.0,686264.0,580880.0,586448.0,607136.0,492760.0,460352.0,489296.0,532288.0,548536.0,583024.0,629416.0,623952.0,655744.0,657504.0,616536.0,524088.0,539696.0,586608.0,609704.0,637784.0,683240.0,701072.0,728736.0,835984.0,863000.0,885600.0,898816.0,836488.0,717312.0,691200.0,709336.0,666184.0,684144.0,720304.0,741232.0,758120.0,695040.0,768008.0,694704.0,638920.0,663904.0,646560.0,670496.0,703432.0,731976.0,757328.0,728136.0,755248.0,713664.0,694272.0,720152.0,649528.0,658634.6346346346
audio_bitsSentPerSecond,477360.0,488664.66466466465,527992.007992008,587512.0,607952.0,618154.1541541541,661026.9730269731,644328.0,569296.0,533640.0,575656.0,562264.0,588488.0,649856.0,628760.0,619608.0,711864.0,611976.0,504768.0,466944.0,500136.0,505992.0,532600.0,608360.0,606208.0,612928.0,705552.0,746056.0,874288.0,844656.0,854208.0,778424.0,691224.0,586112.0,500200.0,506320.0,568896.0,577936.0,626448.0,639400.0,657752.0,591008.0,604296.0,465240.0,437152.0,551936.0,470024.0,542712.0,618456.0,602008.0,700568.0,658040.0,650880.0,764352.0,716952.0,687832.0,771720.0,707760.0,633504.0,621792.0,647567.5675675676
audio_packetsSentPerSecond,206.0,198.19819819819818,199.8001998001998,208.0,207.0,212.21221221221222,205.7942057942058,211.0,203.0,203.0,211.0,205.0,207.0,210.0,208.0,212.0,219.0,213.0,199.0,201.0,207.0,205.0,198.0,207.0,207.0,211.0,214.0,220.0,232.0,237.0,240.0,223.0,213.0,207.0,197.0,201.0,206.0,204.0,208.0,212.0,217.0,208.0,209.0,179.0,196.0,214.0,197.0,205.0,210.0,207.0,227.0,211.0,211.0,224.0,217.0,218.0,223.0,220.0,208.0,213.0,216.21621621621622
audio_googLocalAddress,35.204.32.26:57825,35.204.32.26:57825,35.204.32.26:57825,35.204.32.26:57825,35.204.32.26:57825,35.204.32.26:57825,35.204.32.26:57825,35.204.32.26:57825,35.204.32.26:57825,35.204.32.26:57825,35.204.32.26:57825,35.204.32.26:57825,35.204.32.26:57825,35.204.32.26:57825,35.204.32.26:57825,35.204.32.26:57825,35.204.32.26:57825,35.204.32.26:57825,35.204.32.26:57825,35.204.32.26:57825,35.204.32.26:57825,35.204.32.26:57825,35.204.32.26:57825,35.204.32.26:57825,35.204.32.26:57825,35.204.32.26:57825,35.204.32.26:57825,35.204.32.26:57825,35.204.32.26:57825,35.204.32.26:57825,35.204.32.26:57825,35.204.32.26:57825,35.204.32.26:57825,35.204.32.26:57825,35.204.32.26:57825,35.204.32.26:57825,35.204.32.26:57825,35.204.32.26:57825,35.204.32.26:57825,35.204.32.26:57825,35.204.32.26:57825,35.204.32.26:57825,35.204.32.26:57825,35.204.32.26:57825,35.204.32.26:57825,35.204.32.26:57825,35.204.32.26:57825,35.204.32.26:57825,35.204.32.26:57825,35.204.32.26:57825,35.204.32.26:57825,35.204.32.26:57825,35.204.32.26:57825,35.204.32.26:57825,35.204.32.26:57825,35.204.32.26:57825,35.204.32.26:57825,35.204.32.26:57825,35.204.32.26:57825,35.204.32.26:57825,35.204.32.26:57825
audio_googRemoteAddress,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000
audio_googRtt,25.0,25.0,25.0,25.0,25.0,25.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,25.0,25.0,25.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
