bweforvideo-googAvailableReceiveBandwidth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bweforvideo-googAvailableSendBandwidth,290408.0,259259.0,281000.0,244772.0,257655.0,159102.0,159102.0,172830.0,187656.0,203668.0,220961.0,239638.0,259809.0,281594.0,249704.0,149207.0,153414.0,102672.0,111001.0,88944.0,97060.0,105825.0,115291.0,125514.0,136555.0,148479.0,125467.0,136504.0,94793.0,103376.0,112646.0,122658.0,133471.0,144314.0,156859.0,170408.0,185041.0,200844.0
bweforvideo-googBucketDelay,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,3.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,8.0,3.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
timestamp,1544723945,1544723946,1544723947,1544723948,1544723949,1544723950,1544723951,1544723952,1544723953,1544723954,1544723955,1544723956,1544723957,1544723958,1544723959,1544723960,1544723961,1544723962,1544723963,1544723945,1544723946,1544723947,1544723948,1544723949,1544723950,1544723951,1544723952,1544723953,1544723954,1544723955,1544723956,1544723957,1544723958,1544723959,1544723960,1544723961,1544723962,1544723963
audio_bitsReceivedPerSecond,132075.92407592406,115176.0,129400.0,154936.0,141856.0,176232.23223223223,166689.3106893107,156560.0,158416.0,160592.0,121336.0,123848.0,144512.0,168376.0,165792.0,198520.0,195728.0,204952.0,236128.0,0.0,287903.0303030303,226120.0,240840.0,203136.0,224968.0,244472.0,268176.0,216152.0,238360.0,235448.0,278168.0,255376.0,287672.3276723277,267296.0,197034.96503496505,269176.0,227387.3873873874,205584.0
audio_bitsSentPerSecond,336679.32067932066,397160.0,265136.0,404544.0,249272.0,324580.5805805806,226101.8981018981,214480.0,231328.0,237992.0,277440.0,247328.0,284000.0,330128.0,390240.0,275736.0,215640.0,210528.0,151208.0,0.0,140525.25252525252,114936.0,132184.0,159976.0,151944.0,179336.0,173488.0,158288.0,170496.0,147368.0,134448.0,128744.0,149698.3016983017,176416.0,166193.8061938062,204456.0,212084.08408408408,204408.0
audio_packetsSentPerSecond,163.83616383616385,174.0,156.0,197.0,143.0,165.16516516516518,137.86213786213787,129.0,132.0,134.0,134.0,136.0,141.0,175.0,180.0,139.0,132.0,123.0,117.0,0.0,111.11111111111111,123.0,126.0,125.0,129.0,130.0,129.0,128.0,125.0,113.0,116.0,128.0,123.87612387612387,130.0,126.87312687312688,129.0,134.13413413413414,131.0
audio_googLocalAddress,35.204.92.114:41933,35.204.92.114:41933,35.204.92.114:41933,35.204.92.114:41933,35.204.92.114:41933,35.204.92.114:41933,35.204.92.114:41933,35.204.92.114:41933,35.204.92.114:41933,35.204.92.114:41933,35.204.92.114:41933,35.204.92.114:41933,35.204.92.114:41933,35.204.92.114:41933,35.204.92.114:41933,35.204.92.114:41933,35.204.92.114:41933,35.204.92.114:41933,35.204.92.114:41933,35.204.47.190:46475,35.204.47.190:46475,35.204.47.190:46475,35.204.47.190:46475,35.204.47.190:46475,35.204.47.190:46475,35.204.47.190:46475,35.204.47.190:46475,35.204.47.190:46475,35.204.47.190:46475,35.204.47.190:46475,35.204.47.190:46475,35.204.47.190:46475,35.204.47.190:46475,35.204.47.190:46475,35.204.47.190:46475,35.204.47.190:46475,35.204.47.190:46475,35.204.47.190:46475
audio_googRemoteAddress,18.196.63.112:10000,18.196.63.112:10000,18.196.63.112:10000,18.196.63.112:10000,18.196.63.112:10000,18.196.63.112:10000,18.196.63.112:10000,18.196.63.112:10000,18.196.63.112:10000,18.196.63.112:10000,18.196.63.112:10000,18.196.63.112:10000,18.196.63.112:10000,18.196.63.112:10000,18.196.63.112:10000,18.196.63.112:10000,18.196.63.112:10000,18.196.63.112:10000,18.196.63.112:10000,18.196.63.112:10000,18.196.63.112:10000,18.196.63.112:10000,18.196.63.112:10000,18.196.63.112:10000,18.196.63.112:10000,18.196.63.112:10000,18.196.63.112:10000,18.196.63.112:10000,18.196.63.112:10000,18.196.63.112:10000,18.196.63.112:10000,18.196.63.112:10000,18.196.63.112:10000,18.196.63.112:10000,18.196.63.112:10000,18.196.63.112:10000,18.196.63.112:10000,18.196.63.112:10000
audio_googRtt,44.0,44.0,44.0,36.0,36.0,89.0,89.0,89.0,70.0,70.0,56.0,56.0,56.0,45.0,45.0,82.0,82.0,82.0,65.0,91.0,91.0,81.0,81.0,81.0,64.0,64.0,51.0,51.0,51.0,42.0,42.0,35.0,35.0,35.0,30.0,30.0,26.0,26.0
audio_send_bitsSentPerSecond,40087.91208791209,40704.0,40408.0,40480.0,40304.0,40304.30430430431,40335.66433566433,40536.0,28816.0,29064.0,40048.0,40456.0,40056.0,40728.0,40072.0,40688.0,40448.0,40304.0,40304.0,0.0,16888.88888888889,16720.0,16720.0,16904.0,16536.0,15984.0,15984.0,15672.0,15240.0,16720.0,16696.0,16896.0,16495.504495504494,16888.0,16679.32067932068,16664.0,16664.664664664666,16624.0
audio_send_packetsLost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
