bweforvideo-googAvailableReceiveBandwidth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bweforvideo-googAvailableSendBandwidth,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,301000.0,235768.0,206109.0,194887.0,194887.0,194887.0,194887.0,198303.0,188350.0,188350.0,204418.0,211035.0,211035.0,211035.0,211035.0,211675.0,213775.0,215079.0,216339.0,218403.0,220587.0,220795.0,220795.0,220795.0,222367.0,224227.0,228299.0,232267.0,236271.0,240391.0,244303.0,247531.0,252319.0,256255.0,260071.0,219890.0,219890.0,219890.0,219890.0,219890.0,217054.0,217054.0,217054.0,217054.0,235418.0,255251.0,276671.0,299805.0,324789.0,351513.0,361639.0,371460.0,392652.0,357461.0,357461.0,357461.0,357461.0,357461.0,252037.0,273200.0,273200.0,296056.0,320740.0,320740.0,296656.0,321388.0,321388.0,348099.0,304060.0,329385.0,356736.0,386275.0,418177.0,348753.0,348753.0,348753.0,348753.0,295260.0,295260.0,319881.0,346471.0,313067.0,300000.0,300000.0,300000.0,300000.0,300000.0,279044.0,278851.0,226921.0,211465.0,211465.0,212321.0,203228.0,195279.0,211901.0,229853.0,249241.0,270180.0,203770.0,207934.0,211878.0,215794.0,219906.0,223938.0,227886.0,231898.0,234330.0,239986.0,243842.0,247958.0,251998.0,255790.0,259326.0,263958.0,266002.0,251974.0,273132.0,273132.0,273132.0,273132.0,273132.0,295983.0,301246.0,301246.0,301246.0,301246.0,301246.0,254764.0,254764.0,254764.0,254764.0,200527.0,200527.0,200527.0,217569.0,235975.0,206017.0,223498.0,223498.0,223498.0,242378.0,238738.0,258837.0,280544.0,303988.0,329307.0,356652.0,386184.0,418079.0,420305.0,420305.0,420305.0,387468.0,163213.0,163213.0,163213.0,163213.0,141151.0,153443.0,166718.0,181055.0,187353.0,187945.0,187945.0,188393.0,192409.0,196473.0,200257.0
bweforvideo-googBucketDelay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,7.0,8.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,17.0,1.0,0.0,2.0,0.0,29.0,2.0,2.0,0.0,1.0,0.0,2.0,3.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,35.0,38.0,0.0,3.0,71.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,9.0,2.0,0.0,22.0,2.0,3.0,0.0,0.0,0.0,69.0,57.0,2.0,0.0,54.0,4.0,4.0,15.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,6.0,5.0,4.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,38.0,1.0,2.0,52.0,1.0,6.0,51.0,1.0,13.0,0.0,1.0,1.0,4.0,60.0,0.0,69.0,3.0,1.0,53.0,2.0,4.0,36.0,2.0,0.0,3.0,2.0,0.0,2.0,0.0,2.0,4.0,3.0,1.0,2.0,3.0,1.0,20.0,4.0,2.0,1.0,0.0,0.0,0.0,2.0,3.0,54.0
timestamp,1546010965,1546010966,1546010967,1546010968,1546010969,1546010970,1546010971,1546010972,1546010973,1546010974,1546010975,1546010976,1546010977,1546010978,1546010979,1546010980,1546010981,1546010982,1546010983,1546010984,1546010985,1546010986,1546010987,1546010988,1546010989,1546010990,1546010991,1546010992,1546010993,1546010994,1546010995,1546010996,1546010997,1546010998,1546010999,1546011000,1546011001,1546011002,1546011003,1546011004,1546011005,1546011006,1546011007,1546011008,1546011009,1546011010,1546011011,1546011012,1546011013,1546011014,1546011015,1546011016,1546011017,1546011018,1546011019,1546011020,1546011021,1546011022,1546011023,1546011024,1546011025,1546011026,1546011027,1546011028,1546011029,1546011030,1546011031,1546011032,1546011033,1546011034,1546011035,1546011036,1546011037,1546011038,1546011039,1546011040,1546011041,1546011042,1546011043,1546011044,1546011045,1546011046,1546011047,1546011048,1546011049,1546011050,1546011051,1546011052,1546011053,1546011054,1546010968,1546010969,1546010970,1546010971,1546010972,1546010973,1546010974,1546010975,1546010976,1546010977,1546010978,1546010979,1546010980,1546010981,1546010982,1546010983,1546010984,1546010985,1546010986,1546010987,1546010988,1546010989,1546010990,1546010991,1546010992,1546010993,1546010994,1546010995,1546010996,1546010997,1546010998,1546010999,1546011000,1546011001,1546011002,1546011003,1546011004,1546011005,1546011006,1546011007,1546011008,1546011009,1546011010,1546011011,1546011012,1546011013,1546011014,1546011015,1546011016,1546011017,1546011018,1546011019,1546011020,1546011021,1546011022,1546011023,1546011024,1546011025,1546011026,1546011027,1546011028,1546011029,1546011030,1546011031,1546011032,1546011033,1546011034,1546011035,1546011036,1546011037,1546011038,1546011039,1546011040,1546011041,1546011042,1546011043,1546011044,1546011045,1546011046,1546011047,1546011048,1546011049,1546011050,1546011051,1546011052,1546011053,1546011054
audio_bitsReceivedPerSecond,-1,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5026.973026973027,251024.0,265072.0,246894.89489489488,282352.0,296480.0,249608.0,248759.24075924075,275216.0,252896.0,218234.23423423423,227576.0,215152.0,274456.0,253578.42157842158,226810.8108108108,238345.65434565436,276424.0,290536.0,293040.0,296840.8408408408,294249.7502497503,279519.5195195195,289462.53746253747,255839.83983983984,219980.01998001998,206254.25425425425,255255.25525525527,272567.4325674326,297216.0,288600.0,291392.0,295281.4371257485,298616.30218687875,280416.8336673347,302980.2371541502,293019.13393756293,284702.59481037926,286718.1008902077,289699.3987975952,196555.10204081633,233751.24378109453,285961.73212487414,264304.0,276251.7482517483,282570.5705705706,281598.4015984016,271679.6796796797,260320.0,283387.3873873874,270632.0,286824.0,283124.8751248751,278552.0,215992.0,209896.0,230576.0,278102.10210210213,289774.2257742258,308988.988988989,296391.6083916084,297542.45754245756,291931.93193193193,274512.0,272976.97697697696,277898.1018981019,266544.0,265816.0,246000.0,276744.0,226040.0,207215.21521521523,265556.8862275449,273617.6176176176,265960.0,-1,0.0,0.0,0.0,1256.0,0.0,0.0,0.0,0.0,0.0,0.0,1417769.7697697699,243736.5269461078,259315.31531531533,207256.0,287448.0,288600.0,231040.0,279840.0,287656.0,295688.0,291864.0,287232.0,271535.53553553554,274221.7782217782,232048.0,259080.0,280424.0,286128.0,286806.8068068068,254872.0,208928.0,256304.0,180592.0,212448.0,240608.0,246776.0,193606.3936063936,236332.33233233233,285690.3096903097,294728.0,295664.33566433564,298012.0240480962,298493.5064935065,287040.0,265720.0,287704.0,282386.3863863864,273350.6493506493,271304.0,199592.0,232880.0,286456.0,291296.0,291296.0,295576.0,297150.84915084916,294276.5531062124,301352.0,295272.7272727273,294049.95004995004,311071.0710710711,301717.7177177177,297814.1858141858,277264.0,232592.59259259258,259352.0,227504.99001996007,285098.1963927856,274211.5768463074,284416.8336673347,295552.44755244756,288344.0,285120.0,293485.48548548546,291316.68331668334,290320.0,281256.0,290992.0,292340.34034034034,253772.45508982035,210461.53846153847,280937.4379344588,282008.06451612903,286014.01401401404,288213.8613861386,292780.58645096055
audio_bitsSentPerSecond,-1,-1,-1,-1,-1,0.0,0.0,54414.78439425051,450152.04678362573,313432.0,256287.7122877123,216520.0,186560.0,239616.0,244644.64464464464,246385.61438561438,274880.0,229536.0,227059.05905905907,271592.0,259536.0,256552.0,351600.3996003996,274960.0,239488.0,229005.00500500502,261240.0,264256.0,231248.0,253146.85314685316,271591.5915915916,252163.83616383615,290160.0,287656.0,263216.0,255567.56756756757,276219.7802197802,222950.95095095094,232447.55244755244,258354.35435435435,205162.83716283715,235091.0910910911,293045.04504504503,304047.95204795204,296576.0,286440.0,190280.0,260199.6007984032,342608.3499005964,250124.248496994,229011.8577075099,222775.4279959718,259776.44710578842,282880.3165182987,295054.10821643285,317926.5306122449,328445.7711442786,295218.52970795566,307400.0,292075.9240759241,338834.83483483485,304127.87212787214,284780.78078078077,322320.0,268204.2042042042,352272.0,270232.0,236051.94805194804,263184.0,215080.0,182032.0,298232.0,304912.9129129129,304487.5124875125,246454.45445445445,297462.53746253747,308547.4525474525,290962.962962963,322296.0,266242.24224224227,293730.26973026973,269864.0,293176.0,252864.0,260816.0,208984.0,286382.3823823824,298163.6726546906,298882.8828828829,268072.0,-1,0.0,0.0,0.0,242912.0,354864.0,279727.45490981964,327856.14385614387,375489.02195608785,239214.42885771542,263048.0,-2028644.6446446446,216750.499001996,317261.26126126124,255808.0,265168.0,287312.0,288488.0,269888.0,227192.0,252600.0,267224.0,275672.0,271111.1111111111,297558.44155844155,290784.0,303040.0,317776.0,291088.0,276812.8128128128,304784.0,287856.0,298984.0,270800.0,281184.0,296496.0,286928.0,162677.32267732266,248200.2002002002,207488.5114885115,299496.0,312927.07292707294,271663.3266533066,292003.996003996,346336.0,256328.0,290856.0,300516.5165165165,268939.06093906093,285136.0,238752.0,333968.0,156456.0,239704.0,255856.0,306192.0,268763.23676323675,255198.39679358716,204408.0,276043.95604395604,257142.85714285713,291819.8198198198,314074.0740740741,296903.0969030969,331944.0,299243.24324324325,221784.0,210467.06586826348,301034.06813627254,251704.59081836327,316296.5931863727,282013.986013986,259376.0,241704.0,216208.2082082082,289214.7852147852,228120.0,248112.0,153176.0,192408.4084084084,321660.67864271457,289982.017982018,190387.2889771599,202612.90322580645,263311.3113113113,212831.68316831684,307591.5065722953
audio_packetsSentPerSecond,-1,-1,-1,-1,-1,0.0,0.0,12.320328542094456,128.6549707602339,109.0,100.8991008991009,95.0,115.0,105.0,98.09809809809809,98.9010989010989,101.0,102.0,113.11311311311312,121.0,116.0,113.0,149.85014985014985,145.0,142.0,146.14614614614615,148.0,153.0,139.0,129.87012987012986,131.13113113113113,127.87212787212788,131.0,133.0,133.0,131.13113113113113,132.86713286713288,135.13513513513513,134.86513486513488,134.13413413413414,129.87012987012986,127.12712712712712,132.13213213213214,141.85814185814186,159.0,170.0,146.0,158.68263473053892,181.90854870775348,162.3246492985972,157.11462450592884,152.06445115810675,151.69660678642714,159.2482690405539,153.3066132264529,152.0408163265306,151.24378109452735,161.12789526686808,153.0,153.84615384615384,156.15615615615616,171.82817182817183,162.16216216216216,175.0,181.1811811811812,186.0,176.0,162.83716283716285,170.0,174.0,167.0,152.0,206.20620620620622,195.8041958041958,184.18418418418418,182.8171828171828,159.84015984015983,189.1891891891892,182.0,188.18818818818818,228.77122877122878,176.0,174.0,206.0,186.0,161.0,161.16116116116117,195.60878243512974,212.21221221221222,171.0,-1,0.0,0.0,0.0,45.0,112.0,98.19639278557115,108.89110889110889,121.7564870259481,98.19639278557115,101.0,-659.6596596596596,98.80239520958084,124.12412412412412,123.0,130.0,132.0,129.0,132.0,132.0,130.0,133.0,132.0,134.13413413413414,131.86813186813185,131.0,128.0,136.0,131.0,131.13113113113113,132.0,128.0,131.0,132.0,127.0,134.0,144.0,135.86413586413587,139.13913913913913,130.86913086913086,133.0,143.85614385614386,175.3507014028056,160.83916083916083,153.0,176.0,166.0,161.16116116116117,170.82917082917083,174.0,160.0,185.0,156.0,157.0,162.0,185.0,171.82817182817183,189.37875751503006,153.0,150.84915084915085,162.83716283716285,167.16716716716718,160.16016016016016,159.84015984015983,157.0,150.15015015015015,157.0,161.67664670658684,150.3006012024048,160.67864271457086,155.31062124248496,182.8171828171828,138.0,161.0,160.16016016016016,171.82817182817183,162.0,159.0,130.0,148.14814814814815,170.65868263473052,166.83316683316684,149.95034756703078,154.23387096774192,158.15815815815816,150.4950495049505,168.85743174924167
audio_googLocalAddress,-1,-1,-1,-1,-1,10.164.0.11:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,-1,10.164.0.12:39553,10.164.0.12:39553,10.164.0.12:39553,10.164.0.12:39553,10.164.0.12:39553,10.164.0.12:39553,10.164.0.12:39553,10.164.0.12:39553,10.164.0.12:39553,10.164.0.12:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553
audio_googRemoteAddress,-1,-1,-1,-1,-1,10.164.0.12:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,-1,10.164.0.11:33482,10.164.0.11:48259,10.164.0.11:33482,10.164.0.11:33482,10.164.0.11:33482,10.164.0.11:33482,10.164.0.11:33482,10.164.0.11:33482,10.164.0.11:33482,10.164.0.11:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482
audio_googRtt,-1,-1,-1,-1,-1,3000.0,651.0,681.0,785.0,785.0,785.0,1213.0,1213.0,1901.0,2461.0,2461.0,2730.0,2730.0,2730.0,2912.0,2912.0,2978.0,2978.0,3061.0,3061.0,3061.0,3182.0,3182.0,3182.0,3273.0,3273.0,3273.0,3515.0,3515.0,3618.0,3618.0,3618.0,3724.0,3724.0,3724.0,4072.0,4072.0,4072.0,4402.0,4402.0,4501.0,4501.0,4516.0,4516.0,4516.0,4534.0,4534.0,4450.0,4450.0,4361.0,4361.0,4361.0,4361.0,4361.0,4317.0,4317.0,4317.0,4391.0,4391.0,4391.0,4391.0,4391.0,4322.0,4322.0,4322.0,4322.0,4322.0,4322.0,4603.0,4603.0,4590.0,4590.0,4590.0,4590.0,4499.0,4499.0,4499.0,4424.0,4424.0,4195.0,4195.0,4195.0,4225.0,4225.0,4039.0,-1,3000.0,931.0,947.0,880.0,836.0,836.0,836.0,1334.0,1897.0,1897.0,3741.0,3741.0,3741.0,3741.0,3609.0,3593.0,3545.0,3517.0,3457.0,3365.0,3372.0,3372.0,3311.0,3311.0,3311.0,3386.0,3386.0,3386.0,3424.0,3424.0,3424.0,3674.0,3674.0,3674.0,3994.0,3994.0,3994.0,4245.0,4245.0,4443.0,4443.0,4443.0,4565.0,4565.0,4538.0,4538.0,4456.0,4456.0,4380.0,4380.0,4380.0,4367.0,4367.0,4367.0,4482.0,4482.0,4482.0,4482.0,4482.0,4500.0,4500.0,4488.0,4488.0,4488.0,4428.0,4428.0,4428.0,4528.0,4528.0,4680.0,4680.0,4631.0,4631.0,4631.0,4601.0,4601.0,4553.0,4553.0,4553.0,4553.0,4553.0,4516.0,4516.0,4275.0,4275.0,4275.0
