bweforvideo-googAvailableReceiveBandwidth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bweforvideo-googAvailableSendBandwidth,5608202.0,5608202.0,5608202.0,5608202.0,5608202.0,5608202.0,5608202.0,5608202.0,5608202.0,5608202.0,5608202.0,5608202.0,5608202.0,5608202.0,5608202.0,5608202.0,5608202.0,5608202.0,5608202.0,5608202.0,5608202.0,5133538.0,5133538.0,5133538.0,5133538.0,5133538.0,5133538.0,5133538.0,5133538.0,5133538.0,5133538.0,5133538.0,5133538.0,5133538.0,5133538.0,5133538.0,5133538.0,5133538.0,5133538.0,5133538.0,5133538.0,5133538.0,5133538.0,5133538.0,5133538.0,5133538.0,5133538.0,5133538.0,5133538.0,5133538.0,5133538.0,5133538.0,5133538.0,5133538.0,5133538.0,5133538.0,5133538.0,5133538.0,5133538.0,5133538.0,5133538.0,5133538.0
bweforvideo-googBucketDelay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
timestamp,1546034683,1546034684,1546034685,1546034686,1546034687,1546034688,1546034689,1546034690,1546034691,1546034692,1546034693,1546034694,1546034695,1546034696,1546034697,1546034698,1546034699,1546034700,1546034701,1546034702,1546034703,1546034704,1546034705,1546034706,1546034707,1546034708,1546034709,1546034710,1546034711,1546034712,1546034713,1546034714,1546034715,1546034716,1546034717,1546034718,1546034719,1546034720,1546034721,1546034722,1546034723,1546034724,1546034725,1546034726,1546034727,1546034728,1546034729,1546034730,1546034731,1546034732,1546034733,1546034734,1546034735,1546034736,1546034737,1546034738,1546034739,1546034740,1546034741,1546034742,1546034743,1546034744
audio_bitsReceivedPerSecond,1102040.0,1127144.0,1176520.0,1137024.0,1139680.0,1129288.0,1198464.0,1151440.0,1175952.0,1196832.0,1123472.0,1126921.078921079,1166080.0,1145737.7377377378,1135448.0,1124008.0,1188440.0,1156403.5964035965,1171200.0,1219504.0,1108260.2602602602,1126576.0,1157384.0,1165168.0,1139456.0,1127832.0,1183648.0,1170024.0,1178016.0,1202344.0,1125064.0,1111800.0,1175968.0,1152504.0,1140592.0,1134200.0,1173144.0,1162752.0,1179048.0,1232528.0,1103448.0,1334160.0,1031088.0,1139008.0,1145184.0,1129176.0,1171904.0,1169672.0,1188864.0,1200840.0,1126680.0,1127272.0,1156912.0,1165600.0,1145488.0,1118152.0,1172888.0,1157672.0,1197512.0,1208888.0,1117016.0,1119520.0
audio_bitsSentPerSecond,1501136.0,1595944.0,1471360.0,1485760.0,1546600.0,1473064.0,1441304.0,1547120.0,1515232.0,1551296.0,1501968.0,1583688.3116883116,1489400.0,1468716.7167167168,1560880.0,1478992.0,1451168.0,1572275.7242757243,1481592.0,1569672.0,1503975.9759759759,1598784.0,1439560.0,1479336.0,1569952.0,1482520.0,1438528.0,1565736.0,1476968.0,1578432.0,1506024.0,1572936.0,1481544.0,1473904.0,1571752.0,1488016.0,1434848.0,1567864.0,1483760.0,1576200.0,1498512.0,1587384.0,1713688.0,1262232.0,1528368.0,1490376.0,1443928.0,1545128.0,1508008.0,1577248.0,1488248.0,1583952.0,1481152.0,1475240.0,1591040.0,1482200.0,1437328.0,1537264.0,1515560.0,1580736.0,1467800.0,1602960.0
audio_packetsSentPerSecond,332.0,344.0,327.0,332.0,334.0,325.0,323.0,328.0,331.0,326.0,332.0,339.6603396603397,328.0,325.3253253253253,339.0,327.0,321.0,333.6663336663337,325.0,335.0,324.3243243243243,354.0,325.0,328.0,335.0,328.0,320.0,329.0,322.0,329.0,330.0,341.0,328.0,326.0,340.0,328.0,322.0,330.0,322.0,336.0,333.0,348.0,354.0,310.0,330.0,330.0,326.0,332.0,326.0,331.0,330.0,342.0,328.0,329.0,339.0,326.0,322.0,325.0,332.0,340.0,321.0,349.0
audio_googLocalAddress,35.204.32.26:45015,35.204.32.26:45015,35.204.32.26:45015,35.204.32.26:45015,35.204.32.26:45015,35.204.32.26:45015,35.204.32.26:45015,35.204.32.26:45015,35.204.32.26:45015,35.204.32.26:45015,35.204.32.26:45015,35.204.32.26:45015,35.204.32.26:45015,35.204.32.26:45015,35.204.32.26:45015,35.204.32.26:45015,35.204.32.26:45015,35.204.32.26:45015,35.204.32.26:45015,35.204.32.26:45015,35.204.32.26:45015,35.204.32.26:45015,35.204.32.26:45015,35.204.32.26:45015,35.204.32.26:45015,35.204.32.26:45015,35.204.32.26:45015,35.204.32.26:45015,35.204.32.26:45015,35.204.32.26:45015,35.204.32.26:45015,35.204.32.26:45015,35.204.32.26:45015,35.204.32.26:45015,35.204.32.26:45015,35.204.32.26:45015,35.204.32.26:45015,35.204.32.26:45015,35.204.32.26:45015,35.204.32.26:45015,35.204.32.26:45015,35.204.32.26:45015,35.204.32.26:45015,35.204.32.26:45015,35.204.32.26:45015,35.204.32.26:45015,35.204.32.26:45015,35.204.32.26:45015,35.204.32.26:45015,35.204.32.26:45015,35.204.32.26:45015,35.204.32.26:45015,35.204.32.26:45015,35.204.32.26:45015,35.204.32.26:45015,35.204.32.26:45015,35.204.32.26:45015,35.204.32.26:45015,35.204.32.26:45015,35.204.32.26:45015,35.204.32.26:45015,35.204.32.26:45015
audio_googRemoteAddress,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000
audio_googRtt,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,18.0,18.0,18.0,17.0,17.0,16.0,16.0,16.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
audio_recv_bitsReceivedPerSecond_3915199354,7880.0,7728.0,6856.0,7592.0,8016.0,6416.0,6784.0,6112.0,7744.0,7928.0,7928.0,8071.928071928072,7960.0,6830.830830830831,7920.0,7696.0,8000.0,7624.375624375624,8104.0,7944.0,7631.6316316316315,7848.0,7736.0,7688.0,7752.0,7744.0,7760.0,7712.0,7112.0,6816.0,7792.0,5184.0,7680.0,7736.0,7624.0,7808.0,7512.0,7720.0,7704.0,7656.0,7592.0,7608.0,7568.0,7640.0,7672.0,7624.0,7616.0,6976.0,6616.0,7536.0,7528.0,7584.0,7512.0,7504.0,7568.0,7560.0,7472.0,7520.0,7512.0,7896.0,6616.0,5664.0
audio_recv_packetsReceivedPerSecond_3915199354,8.0,8.0,7.0,8.0,8.0,7.0,7.0,6.0,8.0,8.0,8.0,7.992007992007992,8.0,7.007007007007007,8.0,8.0,8.0,7.992007992007992,8.0,8.0,8.008008008008009,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,8.0,5.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,6.0
