bweforvideo-googAvailableReceiveBandwidth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bweforvideo-googAvailableSendBandwidth,1100049.0,1129066.0,1159775.0,1192152.0,1226265.0,1104283.0,1100768.0,1139335.0,1174897.0,1208640.0,1243688.0,1038204.0,1068472.0,1107164.0,1147603.0,881986.0,908130.0,941086.0,975456.0,711704.0,736045.0
bweforvideo-googBucketDelay,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
timestamp,1541189595,1541189596,1541189597,1541189598,1541189599,1541189600,1541189601,1541189602,1541189603,1541189604,1541189605,1541189606,1541189607,1541189608,1541189609,1541189610,1541189611,1541189612,1541189613,1541189614,1541189615
audio_bitsReceivedPerSecond,0.0,779961.7058311575,753059.6658711217,714832.0,772264.0,738024.0,784368.0,759296.0,764907.0929070929,760920.0,735664.0,789112.0,742281.7182817183,713633.6336336336,739676.3236763236,506440.0,706874.8748748748,743168.3168316832,740149.3440968718,481302.6973026973,694678.6786786787
audio_bitsSentPerSecond,0.0,974217.5805047868,1177775.6563245824,1225760.0,1262968.0,1528712.0,886184.0,1179368.0,1205538.4615384615,1253680.0,1279224.0,1381344.0,897142.8571428572,1144448.4484484484,1183072.9270729271,1215168.0,971235.2352352352,1020483.1683168317,908787.0837537841,1037026.9730269731,855695.6956956957
audio_packetsSentPerSecond,0.0,261.0966057441253,348.4486873508353,372.0,344.0,375.0,248.0,337.0,345.65434565434566,362.0,361.0,315.0,267.73226773226776,342.34234234234236,326.6733266733267,336.0,244.24424424424424,255.44554455445544,242.17961654894046,287.7122877122877,231.23123123123122
audio_googLocalAddress,35.204.137.161:42990,35.204.137.161:42990,35.204.137.161:42990,35.204.137.161:42990,35.204.137.161:42990,35.204.137.161:42990,35.204.137.161:42990,35.204.137.161:42990,35.204.137.161:42990,35.204.137.161:42990,35.204.137.161:42990,35.204.137.161:42990,35.204.137.161:42990,35.204.137.161:42990,35.204.137.161:42990,35.204.137.161:42990,35.204.137.161:42990,35.204.137.161:42990,35.204.137.161:42990,35.204.137.161:42990,35.204.137.161:42990
audio_googRemoteAddress,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000
audio_googRtt,19.0,19.0,18.0,18.0,17.0,17.0,17.0,16.0,16.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
audio_send_bitsSentPerSecond,0.0,40786.771105308966,33813.84248210024,28560.0,33352.0,40400.0,40400.0,40400.0,40359.64035964036,40400.0,40400.0,40400.0,28979.020979020977,40440.44044044044,40359.64035964036,40400.0,40440.44044044044,40800.0,39951.564076690214,40359.64035964036,40440.44044044044
audio_send_packetsLost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
audio_send_packetsSentPerSecond,0.0,50.478677110530896,50.11933174224344,50.0,49.0,50.0,50.0,50.0,49.95004995004995,50.0,50.0,50.0,49.95004995004995,50.050050050050054,49.95004995004995,50.0,50.050050050050054,50.495049504950494,49.44500504540868,49.95004995004995,50.050050050050054
audio_send_googJitterReceived,3.0,3.0,3.0,3.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0
audio_send_googRtt,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
video_send_bitsSentPerSecond,0.0,911846.8233246302,1132133.6515513125,1166712.0,1209536.0,1463656.0,829512.0,1115416.0,1143976.023976024,1186848.0,1218128.0,1316512.0,851588.4115884115,1081265.2652652652,1122989.010989011,1153472.0,914954.9549549549,958978.2178217822,853061.5539858729,973042.9570429571,799183.1831831832
video_send_packetsLost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
video_send_packetsSentPerSecond,0.0,178.4160139251523,276.8496420047733,290.0,266.0,295.0,171.0,258.0,266.73326673326676,282.0,283.0,231.0,192.80719280719282,265.26526526526527,248.75124875124874,264.0,169.16916916916918,175.24752475247524,167.50756811301716,211.78821178821178,155.15515515515514
video_send_googEncodeUsagePercent,47.0,48.0,46.0,43.0,41.0,38.0,38.0,36.0,35.0,34.0,33.0,32.0,33.0,32.0,31.0,31.0,30.0,30.0,29.0,29.0,29.0
video_send_googFrameHeightSent,720.0,720.0,720.0,720.0,720.0,720.0,720.0,720.0,720.0,720.0,360.0,720.0,720.0,720.0,720.0,720.0,360.0,360.0,360.0,360.0,360.0
video_send_googFrameRateSent,59.0,61.0,60.0,60.0,60.0,59.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
