bweforvideo-googAvailableReceiveBandwidth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bweforvideo-googAvailableSendBandwidth,5581564.0,5581564.0,5581564.0,5581564.0,5581564.0,5581564.0,5581564.0,5581564.0,5581564.0,5581564.0,5581564.0,5581564.0,5581564.0,5581564.0,5916554.0,5916554.0,5916554.0,5916554.0,5916554.0,5916554.0,5916554.0,5916554.0,5916554.0,5916554.0,5916554.0,5916554.0,5916554.0,5916554.0
bweforvideo-googBucketDelay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
timestamp,1541196508,1541196509,1541196510,1541196511,1541196512,1541196513,1541196514,1541196515,1541196516,1541196517,1541196518,1541196519,1541196520,1541196521,1541196508,1541196509,1541196510,1541196511,1541196512,1541196513,1541196514,1541196515,1541196516,1541196517,1541196518,1541196519,1541196520,1541196521
audio_bitsReceivedPerSecond,0.0,1121382.1138211382,1065145.1451451452,1075008.0,1035572.4275724276,1096920.920920921,1003096.0,1028392.0,954728.0,963664.0,1000104.0,956200.0,919744.0,986381.6183816184,1119364.421416235,1143671.100362757,1043064.0,1024776.0,1080816.0,1072152.0,1029320.0,1066064.0,957712.0,969408.0,1027884.1158841159,985322.7091633466,971023.1155778895,974881.1188811188
audio_bitsSentPerSecond,0.0,1874081.300813008,1629125.125125125,1538656.0,1612379.6203796205,1600896.896896897,1660272.0,1575048.0,1518192.0,1482704.0,1490048.0,1535296.0,1502464.0,1439248.7512487513,1541160.621761658,1765243.0471584038,1608624.0,1655696.0,1629600.0,1638576.0,1615632.0,1503224.0,1446312.0,1494176.0,1515684.3156843157,1480613.545816733,1441125.6281407035,1515548.4515484516
audio_packetsSentPerSecond,0.0,354.6747967479675,340.34034034034033,329.0,335.6643356643357,338.33833833833836,340.0,333.0,334.0,331.0,328.0,332.0,332.0,321.67832167832165,329.01554404145077,353.0834340991536,343.0,345.0,344.0,342.0,344.0,332.0,324.0,332.0,334.6653346653347,330.6772908366534,319.59798994974875,322.67732267732265
audio_googLocalAddress,35.204.125.129:53366,35.204.125.129:53366,35.204.125.129:53366,35.204.125.129:53366,35.204.125.129:53366,35.204.125.129:53366,35.204.125.129:53366,35.204.125.129:53366,35.204.125.129:53366,35.204.125.129:53366,35.204.125.129:53366,35.204.125.129:53366,35.204.125.129:53366,35.204.125.129:53366,35.204.137.161:43153,35.204.137.161:43153,35.204.137.161:43153,35.204.137.161:43153,35.204.137.161:43153,35.204.137.161:43153,35.204.137.161:43153,35.204.137.161:43153,35.204.137.161:43153,35.204.137.161:43153,35.204.137.161:43153,35.204.137.161:43153,35.204.137.161:43153,35.204.137.161:43153
audio_googRemoteAddress,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000
audio_googRtt,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,14.0,14.0,14.0,17.0,17.0,17.0,17.0,17.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
