bweforvideo-googAvailableReceiveBandwidth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bweforvideo-googAvailableSendBandwidth,1128103.0,1215701.0,1309322.0,1415068.0,1526350.0,1649458.0,1782415.0,1904279.0,2024359.0
bweforvideo-googBucketDelay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
timestamp,1541189102,1541189103,1541189104,1541189105,1541189106,1541189107,1541189108,1541189109,1541189110
audio_bitsReceivedPerSecond,0.0,747157.6805696846,803072.0,800992.0,811256.0,750608.0,834248.0,765632.0,731464.0
audio_bitsSentPerSecond,0.0,1429053.9165818922,1398960.0,1419640.0,1512096.0,1540080.0,1427608.0,1584808.0,1452208.0
audio_packetsSentPerSecond,0.0,323.499491353001,325.0,321.0,328.0,328.0,321.0,344.0,328.0
audio_googLocalAddress,35.204.125.129:57647,35.204.125.129:57647,35.204.125.129:57647,35.204.125.129:57647,35.204.125.129:57647,35.204.125.129:57647,35.204.125.129:57647,35.204.125.129:57647,35.204.125.129:57647
audio_googRemoteAddress,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000
audio_googRtt,27.0,24.0,24.0,22.0,22.0,22.0,20.0,20.0,18.0
audio_send_bitsSentPerSecond,0.0,15959.308240081384,16544.0,16696.0,16744.0,16696.0,16688.0,16704.0,16704.0
audio_send_packetsLost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
audio_send_packetsSentPerSecond,0.0,49.84740590030519,50.0,50.0,50.0,50.0,50.0,50.0,50.0
audio_send_googJitterReceived,100.0,100.0,100.0,100.0,101.0,101.0,101.0,101.0,101.0
audio_send_googRtt,88.0,88.0,88.0,88.0,32.0,32.0,32.0,32.0,32.0
video_send_bitsSentPerSecond,0.0,1393530.01017294,1358992.0,1384064.0,1472648.0,1504504.0,1388008.0,1546544.0,1410784.0
video_send_packetsLost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
video_send_packetsSentPerSecond,0.0,245.1678535096643,244.0,245.0,250.0,252.0,242.0,266.0,247.0
video_send_googEncodeUsagePercent,64.0,64.0,59.0,56.0,54.0,51.0,49.0,48.0,46.0
video_send_googFrameHeightSent,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0
video_send_googFrameRateSent,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,60.0
video_send_googFrameWidthSent,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0
video_send_googRtt,47.0,47.0,42.0,35.0,29.0,29.0,29.0,26.0,23.0
audio_recv_bitsReceivedPerSecond,0.0,19597.151576805696,42000.0,42840.0,42000.0,42000.0,42000.0,41160.0,42000.0
audio_recv_packetsReceivedPerSecond,0.0,24.415055951169887,50.0,51.0,50.0,50.0,50.0,49.0,50.0
audio_recv_googCurrentDelayMs,29.0,58.0,183.0,297.0,349.0,348.0,346.0,346.0,366.0
audio_recv_googJitterBufferMs,1.0,41.0,154.0,302.0,340.0,340.0,340.0,320.0,322.0
audio_recv_googJitterReceived,2.0,2.0,15.0,15.0,15.0,15.0,15.0,15.0,3.0
audio_recv_googPreferredJitterBufferMs,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0
video_recv_bitsReceivedPerSecond,0.0,706246.1851475076,740632.0,735744.0,748048.0,683992.0,772176.0,699496.0,667360.0
video_recv_packetsReceivedPerSecond,0.0,103.76398779247202,103.0,104.0,110.0,98.0,109.0,101.0,97.0
video_recv_googCurrentDelayMs,101.0,98.0,95.0,92.0,89.0,85.0,83.0,81.0,77.0
video_recv_googDecodeMs,3.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0
video_recv_googFrameHeightReceived,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0
video_recv_googFrameRateOutput,54.0,60.0,57.0,58.0,57.0,56.0,57.0,57.0,58.0
video_recv_googFrameRateReceived,58.0,59.0,60.0,60.0,60.0,60.0,59.0,60.0,57.0
video_recv_googFrameWidthReceived,640.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0,640.0
video_recv_googInterframeDelayMax,68.0,20.0,20.0,20.0,27.0,74.0,21.0,19.0,26.0
video_recv_googJitterBufferMs,86.0,83.0,80.0,77.0,74.0,71.0,69.0,67.0,64.0
video_recv_googPlisSent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
video_send_resolutionChangesSent,0,0,0,0,0,0,0,0,0
video_recv_resolutionChangesReceived,0,0,0,0,0,0,0,0,0
1_way_delay_audio_send,44.0,44.0,44.0,44.0,16.0,16.0,16.0,16.0,16.0
1_way_delay_video_send,23.5,23.5,21.0,17.5,14.5,14.5,14.5,13.0,11.5
ear_ear_delay_audio_send,54.0,56.0,61.0,64.0,34.0,46.0,31.0,31.0,31.0
audio_recv_kbitsReceivedPerSecond,0,19,41,41,41,41,41,40,41
video_recv_kbitsReceivedPerSecond,0,689,723,718,730,667,754,683,651
audio_packet_loss_percentage_send,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e_model_audio_send,92.904,92.85600000000001,92.736,92.664,93.384,93.096,93.456,93.456
kpi_audio_synchronization,4.403482993265152,4.402528243813888,4.400124648030209,4.3986710471633925,4.412819116790272,4.407263652878848,4.414186221580288,4.414186221580288
eye_eye_delay_video_send,60.5,60.5,57.0,52.5,49.5,48.5,48.5,47.0,44.5
