audio_recv_bitsReceivedPerSecond,0.0,21179.79797979798,25480.0,21432.0,21032.0,16680.0,10192.0,10320.0,11480.0,11120.0,42325.962325962326,40303.66492146597,42000.0,41296.0,41832.66932270916,42126.37913741224,42000.0,42000.0,42000.0,42290.227048371176
audio_recv_packetsReceivedPerSecond,0.0,40.4040404040404,50.0,41.0,40.0,31.0,17.0,17.0,15.0,12.0,49.959049959049956,48.42931937172775,50.0,49.0,49.800796812749006,50.150451354062184,50.0,50.0,50.0,50.34550839091806
audio_recv_googCurrentDelayMs,54.0,103.0,129.0,114.0,91.0,46.0,36.0,32.0,25.0,23.0,344.0,343.0,357.0,350.0,357.0,352.0,362.0,344.0,348.0,361.0
audio_recv_googJitterBufferMs,41.0,19.0,99.0,81.0,5.0,1.0,24.0,1.0,2.0,3.0,341.0,321.0,330.0,323.0,332.0,332.0,338.0,341.0,341.0,351.0
audio_recv_googJitterReceived,12.0,12.0,12.0,12.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0
audio_recv_googPreferredJitterBufferMs,280.0,280.0,280.0,280.0,240.0,240.0,240.0,360.0,360.0,260.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0
video_recv_bitsReceivedPerSecond,0.0,1019361.6161616162,964704.0,1041576.0,967096.0,1058080.0,979880.0,989760.0,902720.0,917600.0,960773.1367731368,1066743.4554973822,1034768.0,978672.0,1035274.9003984063,994326.9809428285,977888.0,1017880.0,880008.0,905571.5695952616
video_recv_packetsReceivedPerSecond,0.0,135.35353535353536,124.0,138.0,127.0,140.0,126.0,128.0,119.0,125.0,129.4021294021294,143.97905759162305,134.0,127.0,133.46613545816734,129.38816449348045,127.0,130.0,119.0,122.40868706811452
video_recv_googCurrentDelayMs,58.0,58.0,58.0,57.0,57.0,57.0,54.0,53.0,52.0,50.0,60.0,59.0,59.0,59.0,57.0,55.0,53.0,52.0,50.0,48.0
video_recv_googDecodeMs,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0
video_recv_googFrameHeightReceived,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0
video_recv_googFrameRateOutput,53.0,61.0,60.0,60.0,60.0,60.0,60.0,61.0,60.0,60.0,59.0,60.0,60.0,60.0,60.0,60.0,60.0,61.0,60.0,61.0
video_recv_googFrameRateReceived,57.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,59.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
video_recv_googFrameWidthReceived,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0
video_recv_googInterframeDelayMax,53.0,20.0,19.0,21.0,21.0,18.0,19.0,20.0,20.0,19.0,33.0,18.0,18.0,18.0,19.0,18.0,19.0,23.0,18.0,29.0
video_recv_googJitterBufferMs,36.0,37.0,37.0,37.0,37.0,37.0,36.0,36.0,36.0,36.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0
