bweforvideo-googAvailableReceiveBandwidth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bweforvideo-googAvailableSendBandwidth,5778699.0,5778699.0,5778699.0,5778699.0,5778699.0,5778699.0,5778699.0,5778699.0,5778699.0,5778699.0
bweforvideo-googBucketDelay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
timestamp,1541205891,1541205892,1541205893,1541205894,1541205895,1541205896,1541205897,1541205898,1541205899,1541205900
audio_bitsReceivedPerSecond,0.0,1062933.3333333333,1014208.0,1085688.0,1012808.0,1096384.0,1013376.0,1021176.0,938928.0,950000.0
audio_bitsSentPerSecond,0.0,1764961.616161616,1716944.0,1583512.0,1634384.0,1616752.0,1634904.0,1633352.0,1478152.0,1472848.0
audio_packetsSentPerSecond,0.0,354.54545454545456,351.0,335.0,339.0,337.0,336.0,336.0,334.0,326.0
audio_googLocalAddress,35.204.125.129:56699,35.204.125.129:56699,35.204.125.129:56699,35.204.125.129:56699,35.204.125.129:56699,35.204.125.129:56699,35.204.125.129:56699,35.204.125.129:56699,35.204.125.129:56699,35.204.125.129:56699
audio_googRemoteAddress,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000
audio_googRtt,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
audio_send_bitsSentPerSecond,0.0,41454.545454545456,40304.0,40360.0,40392.0,40472.0,39832.0,40400.0,40904.0,39896.0
audio_send_packetsLost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
audio_send_packetsSentPerSecond,0.0,50.505050505050505,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
audio_send_googJitterReceived,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0
audio_send_googRtt,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0
video_send_bitsSentPerSecond,0.0,1699967.6767676768,1655352.0,1519976.0,1573616.0,1553056.0,1574680.0,1569472.0,1414464.0,1409104.0
video_send_packetsLost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
video_send_packetsSentPerSecond,0.0,276.7676767676768,272.0,256.0,261.0,259.0,259.0,256.0,253.0,248.0
video_send_googEncodeUsagePercent,64.0,64.0,60.0,57.0,55.0,52.0,50.0,48.0,47.0,46.0
video_send_googFrameHeightSent,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0
video_send_googFrameRateSent,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
video_send_googFrameWidthSent,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0
video_send_googRtt,16.0,16.0,16.0,15.0,14.0,14.0,15.0,15.0,16.0,16.0
audio_recv_bitsReceivedPerSecond,0.0,21179.79797979798,25480.0,21432.0,21032.0,16680.0,10192.0,10320.0,11480.0,11120.0
audio_recv_packetsReceivedPerSecond,0.0,40.4040404040404,50.0,41.0,40.0,31.0,17.0,17.0,15.0,12.0
