video_send_googFrameHeightSent,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0
video_send_googFrameRateSent,60.0,60.0,60.0,60.0,60.0,60.0,42.0,59.0,29.0,46.0,58.0,34.0,33.0,57.0,59.0,59.0,59.0,59.0,60.0,59.0,59.0,59.0,59.0,59.0,59.0
video_send_googFrameWidthSent,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0
video_send_googRtt,3753.0,4417.0,4882.0,5208.0,5823.0,6554.0,7076.0,7001.0,6160.0,5492.0,4740.0,4110.0,3607.0,3162.0,2764.0,2322.0,1849.0,1549.0,1168.0,883.0,638.0,451.0,320.0,228.0,209.0
audio_recv_bitsReceivedPerSecond,0.0,10704.727921498661,4624.277456647399,7992.0,8000.0,7984.0,7984.0,7984.0,7984.0,7968.0,7984.0,7880.0,6968.0,6792.0,8000.0,7880.0,7896.0,7888.0,7904.0,7120.0,8000.0,7792.0,7160.0,7952.0,7936.0
audio_recv_packetsReceivedPerSecond,0.0,10.704727921498662,4.624277456647399,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,7.0,8.0,8.0
audio_recv_googCurrentDelayMs,24.0,26.0,28.0,30.0,31.0,29.0,30.0,22.0,22.0,23.0,22.0,25.0,29.0,35.0,32.0,29.0,30.0,26.0,28.0,31.0,20.0,34.0,42.0,36.0,30.0
audio_recv_googJitterBufferMs,1.0,1.0,1.0,2.0,3.0,1.0,3.0,0.0,2.0,3.0,2.0,4.0,11.0,5.0,7.0,4.0,5.0,3.0,4.0,9.0,1.0,5.0,3.0,4.0,2.0
audio_recv_googJitterReceived,108.0,108.0,108.0,108.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
audio_recv_googPreferredJitterBufferMs,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0,740.0
