bweforvideo-googAvailableReceiveBandwidth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bweforvideo-googAvailableSendBandwidth,556927.0,566542.0,590748.0,614184.0,637990.0,663964.0,391955.0,401495.0,348701.0,369087.0,391799.0,415990.0,441045.0,469725.0,499138.0,533390.0,577061.0,624226.0,550484.0,577613.0,595675.0,391878.0,404085.0,437412.0,473405.0,511018.0,552899.0,596662.0,645395.0,698027.0,754869.0,816259.0,702503.0,730350.0,761572.0,794275.0,446518.0,450085.0,476721.0,503305.0,532691.0,564915.0,592276.0,616469.0,642360.0,670092.0,392226.0,405763.0,439224.0,475362.0,514391.0,556542.0,602065.0,651230.0,702618.0,759827.0,821613.0,742794.0,693381.0,713687.0,741058.0,457177.0,458177.0,495831.0,536497.0,580417.0,627850.0,678775.0,599387.0,618162.0,644077.0,469401.0,478547.0,484128.0,510939.0,538993.0,571246.0,613015.0,642444.0,666984.0,694253.0,722593.0,753226.0,784241.0,816798.0,726234.0,531651.0,539066.0,565398.0,586235.0,609651.0,634167.0,659225.0,684494.0,709580.0,737720.0,468087.0,486919.0,526826.0,569333.0,615880.0,665565.0,718650.0,776395.0,839264.0,689745.0,479499.0,501756.0,504112.0,527704.0,559419.0,586960.0,608956.0,632260.0,657680.0,699805.0,754554.0,718630.0
bweforvideo-googBucketDelay,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,0.0,2.0,3.0,3.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,3.0,4.0,4.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,0.0,5.0,4.0,0.0,0.0,0.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0
timestamp,1546027631,1546027632,1546027633,1546027634,1546027635,1546027636,1546027637,1546027638,1546027639,1546027640,1546027641,1546027642,1546027643,1546027644,1546027645,1546027646,1546027647,1546027648,1546027649,1546027650,1546027651,1546027652,1546027653,1546027654,1546027655,1546027656,1546027657,1546027658,1546027659,1546027660,1546027661,1546027662,1546027663,1546027664,1546027665,1546027666,1546027667,1546027668,1546027669,1546027670,1546027671,1546027672,1546027673,1546027674,1546027675,1546027676,1546027677,1546027678,1546027679,1546027680,1546027681,1546027682,1546027683,1546027684,1546027685,1546027686,1546027687,1546027688,1546027689,1546027690,1546027691,1546027692,1546027693,1546027694,1546027695,1546027696,1546027697,1546027698,1546027699,1546027700,1546027701,1546027702,1546027703,1546027704,1546027705,1546027706,1546027707,1546027708,1546027709,1546027710,1546027711,1546027712,1546027713,1546027714,1546027715,1546027716,1546027717,1546027718,1546027719,1546027720,1546027721,1546027722,1546027723,1546027724,1546027725,1546027726,1546027727,1546027728,1546027729,1546027730,1546027731,1546027732,1546027733,1546027734,1546027735,1546027736,1546027737,1546027738,1546027739,1546027740,1546027741,1546027742,1546027743,1546027744,1546027745,1546027746,1546027747,1546027748
audio_bitsReceivedPerSecond,691347.9549496147,664396.0396039604,701880.0,598577.4225774226,537097.0970970971,579744.0,610008.0,676864.0,645976.0,654752.0,661448.0,657440.0,647048.0,498032.0,459416.0,505576.0,515720.0,585432.0,615728.0,668328.0,653744.0,664120.0,736848.0,724032.0,745112.0,712640.0,802392.0,853760.0,772808.0,688736.0,654776.0,612992.0,630912.0,665728.0,683440.0,683816.0,745472.0,770208.0,839880.0,818664.0,847296.0,829944.0,711496.0,603368.0,526000.0,547672.0,614592.0,655176.0,681440.0,721120.0,791616.0,799712.0,735800.0,772696.0,611760.0,611928.0,669816.0,665048.0,776832.0,806856.0,856152.0,824328.0,709384.0,810008.0,746944.0,707568.0,742168.0,773992.0,804112.0,808264.0,784176.0,746832.0,796904.0,758672.0,778760.0,763584.0,828760.0,819232.0,749680.0,669472.0,643480.0,598752.0,609824.0,643872.0,682488.0,671168.0,754848.0,765792.0,748819.1808191808,686430.4304304305,591536.0,597416.0,616928.0,658728.0,664048.0,682888.0,750936.0,763192.0,827128.0,807736.0,813808.0,750328.0,716136.0,577040.0,514416.0,527432.0,584063.9360639361,607215.2152152152,645960.0,677304.0,743560.0,713128.0,677200.0,579336.0,504648.0,525312.0,582000.0,601368.0
audio_bitsSentPerSecond,597519.8577356254,731617.1617161717,626528.0,657614.3856143856,684180.1801801802,709952.0,718160.0,483328.0,507720.0,435448.0,436160.0,494072.0,486352.0,511656.0,544288.0,588088.0,647160.0,622552.0,708424.0,653584.0,650104.0,718072.0,500560.0,531104.0,467144.0,546256.0,610456.0,609224.0,705792.0,712632.0,732680.0,867648.0,833800.0,801992.0,777808.0,845472.0,768384.0,593760.0,571584.0,541480.0,583848.0,637272.0,632816.0,660904.0,665872.0,729200.0,692432.0,512032.0,525304.0,509704.0,538800.0,620960.0,642336.0,646416.0,688944.0,774784.0,832360.0,875888.0,894480.0,784936.0,782464.0,807864.0,551880.0,529864.0,570144.0,635296.0,664344.0,693152.0,788232.0,684584.0,724040.0,696848.0,621016.0,579040.0,492384.0,570568.0,620152.0,631256.0,718080.0,685272.0,725160.0,763144.0,804208.0,800680.0,778136.0,884104.0,759696.0,674248.0,711304.6953046953,611331.3313313313,646024.0,694832.0,709768.0,708032.0,675832.0,813728.0,705008.0,630376.0,597104.0,581784.0,629440.0,689528.0,735320.0,770384.0,727088.0,866944.0,703240.7592407592,673897.8978978979,627496.0,553256.0,581136.0,628264.0,657096.0,667712.0,657584.0,731512.0,735232.0,849240.0
audio_packetsSentPerSecond,206.2833432128038,214.5214521452145,207.0,209.7902097902098,217.2172172172172,209.0,212.0,202.0,198.0,200.0,200.0,197.0,197.0,197.0,200.0,205.0,208.0,209.0,215.0,214.0,213.0,211.0,202.0,206.0,197.0,203.0,201.0,211.0,214.0,216.0,216.0,229.0,228.0,227.0,222.0,230.0,221.0,203.0,205.0,204.0,207.0,207.0,205.0,218.0,208.0,215.0,212.0,204.0,197.0,201.0,200.0,206.0,211.0,212.0,217.0,217.0,229.0,234.0,233.0,231.0,225.0,225.0,189.0,195.0,205.0,209.0,211.0,210.0,223.0,217.0,221.0,212.0,209.0,206.0,202.0,200.0,209.0,213.0,218.0,221.0,219.0,220.0,228.0,229.0,225.0,235.0,220.0,213.0,219.78021978021977,213.2132132132132,214.0,213.0,215.0,216.0,215.0,228.0,212.0,209.0,209.0,208.0,215.0,210.0,221.0,224.0,219.0,234.0,216.78321678321677,215.2152152152152,213.0,206.0,208.0,207.0,211.0,212.0,209.0,217.0,216.0,232.0
audio_googLocalAddress,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331,35.204.47.190:55331
audio_googRemoteAddress,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000,35.159.17.120:10000
audio_googRtt,27.0,27.0,27.0,27.0,27.0,27.0,48.0,48.0,48.0,42.0,42.0,38.0,38.0,38.0,35.0,35.0,33.0,33.0,33.0,31.0,31.0,31.0,53.0,53.0,46.0,46.0,41.0,41.0,41.0,39.0,39.0,37.0,37.0,37.0,34.0,34.0,34.0,56.0,56.0,48.0,48.0,42.0,42.0,42.0,38.0,38.0,51.0,51.0,51.0,45.0,45.0,40.0,40.0,40.0,36.0,36.0,35.0,35.0,35.0,33.0,33.0,33.0,63.0,63.0,54.0,54.0,47.0,47.0,47.0,43.0,43.0,43.0,58.0,58.0,50.0,50.0,44.0,44.0,44.0,39.0,39.0,36.0,36.0,36.0,33.0,33.0,33.0,54.0,54.0,47.0,47.0,42.0,42.0,42.0,38.0,38.0,48.0,48.0,48.0,42.0,42.0,38.0,38.0,38.0,35.0,35.0,42.0,42.0,42.0,38.0,38.0,35.0,35.0,35.0,33.0,33.0,31.0,31.0
