bweforvideo-googAvailableReceiveBandwidth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bweforvideo-googAvailableSendBandwidth,2087472.0,2186491.0,2256924.0,2350172.0,2398223.0,2488327.0,2533541.0,2546833.0,2546833.0,2546833.0,2546833.0,2546833.0,2546833.0,2546833.0,2546833.0,2546833.0,2546833.0,2546833.0,2546833.0,2546833.0,2546833.0,2546833.0,2546833.0,2546833.0,2546833.0,2546833.0
bweforvideo-googBucketDelay,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,1.0,2.0,0.0,3.0,2.0,0.0,0.0
timestamp,1541191570,1541191571,1541191572,1541191573,1541191574,1541191575,1541191576,1541191577,1541191578,1541191579,1541191580,1541191581,1541191582,1541191583,1541191584,1541191585,1541191586,1541191587,1541191588,1541191589,1541191590,1541191591,1541191592,1541191593,1541191594,1541191595
audio_bitsReceivedPerSecond,1012816.8273444347,1099338.8822829963,1054688.0,1012112.0,1067176.0,1023056.0,1005808.0,1040008.0,921976.0,931344.0,963008.0,976224.0,949120.0,923004.995004995,994962.9629629629,962672.0,958872.0,1027384.0,912288.0,921584.0,980235.7642357643,955795.7957957957,959112.0,912519.4805194805,998926.926926927,964336.0
audio_bitsSentPerSecond,1716473.2690622262,1531139.120095125,1567712.0,1683008.0,1574912.0,1609392.0,1671888.0,1405584.0,1431888.0,1565160.0,1484112.0,1415760.0,1433608.0,1550297.7022977022,1498746.7467467468,1484136.0,1596720.0,1409800.0,1440352.0,1515928.0,1496351.6483516484,1459347.3473473473,1439616.0,1554909.0909090908,1516628.6286286286,1494328.0
audio_packetsSentPerSecond,349.69325153374234,332.9369797859691,336.0,349.0,335.0,336.0,348.0,323.0,323.0,342.0,328.0,323.0,321.0,329.6703296703297,329.3293293293293,329.0,341.0,320.0,325.0,333.0,335.6643356643357,332.3323323323323,324.0,332.6673326673327,329.3293293293293,321.0
audio_googLocalAddress,35.204.137.161:56970,35.204.137.161:56970,35.204.137.161:56970,35.204.137.161:56970,35.204.137.161:56970,35.204.137.161:56970,35.204.137.161:56970,35.204.137.161:56970,35.204.137.161:56970,35.204.137.161:56970,35.204.137.161:56970,35.204.137.161:56970,35.204.137.161:56970,35.204.137.161:56970,35.204.137.161:56970,35.204.137.161:56970,35.204.137.161:56970,35.204.137.161:56970,35.204.137.161:56970,35.204.137.161:56970,35.204.137.161:56970,35.204.137.161:56970,35.204.137.161:56970,35.204.137.161:56970,35.204.137.161:56970,35.204.137.161:56970
audio_googRemoteAddress,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000,18.196.161.129:10000
audio_googRtt,41.0,41.0,34.0,34.0,34.0,29.0,29.0,26.0,26.0,26.0,32.0,32.0,28.0,28.0,28.0,26.0,26.0,23.0,23.0,23.0,22.0,22.0,20.0,20.0,20.0,19.0
audio_send_bitsSentPerSecond,16617.002629272567,16209.274673008324,15048.0,15344.0,15480.0,16672.0,15160.0,15752.0,16600.0,16720.0,16720.0,15792.0,14848.0,15280.71928071928,15047.047047047046,15800.0,15608.0,14760.0,16696.0,15536.0,16031.968031968032,14950.950950950952,15416.0,15408.591408591408,14950.950950950952,16648.0
audio_send_packetsLost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
audio_send_packetsSentPerSecond,49.95617879053462,49.940546967895365,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,49.95004995004995,50.050050050050054,50.0,50.0,50.0,50.0,50.0,49.95004995004995,50.050050050050054,50.0,49.95004995004995,50.050050050050054,50.0
audio_send_googJitterReceived,110.0,110.0,110.0,110.0,110.0,110.0,115.0,115.0,115.0,110.0,110.0,110.0,110.0,110.0,110.0,128.0,128.0,128.0,120.0,120.0,120.0,120.0,120.0,120.0,124.0,124.0
audio_send_googRtt,141.0,141.0,141.0,141.0,141.0,141.0,36.0,36.0,36.0,30.0,30.0,30.0,30.0,30.0,30.0,32.0,32.0,32.0,31.0,31.0,31.0,31.0,31.0,31.0,35.0,35.0
video_send_bitsSentPerSecond,1675540.7537248028,1495200.9512485138,1529360.0,1646712.0,1536832.0,1572584.0,1632944.0,1369776.0,1389728.0,1525520.0,1444328.0,1380344.0,1424848.0,1487248.7512487513,1460484.4844844844,1447288.0,1558576.0,1375352.0,1400152.0,1478928.0,1457022.977022977,1423647.6476476477,1401376.0,1519240.7592407593,1479167.1671671672,1458600.0
video_send_packetsLost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
video_send_packetsSentPerSecond,269.06222611744084,255.64803804994054,257.0,271.0,258.0,259.0,269.0,245.0,242.0,262.0,248.0,246.0,246.0,249.75024975024974,249.24924924924926,249.0,264.0,243.0,247.0,256.0,255.74425574425575,252.25225225225225,245.0,254.74525474525475,251.25125125125126,246.0
video_send_googEncodeUsagePercent,102.0,64.0,64.0,57.0,55.0,52.0,50.0,49.0,47.0,46.0,45.0,45.0,44.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,44.0,44.0,44.0,44.0
video_send_googFrameHeightSent,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0
video_send_googFrameRateSent,58.0,61.0,61.0,61.0,60.0,61.0,61.0,61.0,60.0,61.0,60.0,61.0,61.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
video_send_googFrameWidthSent,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0
video_send_googRtt,54.0,50.0,39.0,32.0,27.0,24.0,21.0,21.0,20.0,18.0,17.0,17.0,17.0,16.0,16.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,16.0
audio_recv_bitsReceivedPerSecond,7011.3935144609995,9502.972651605232,7952.0,7960.0,7960.0,7936.0,7880.0,7928.0,7936.0,7880.0,7912.0,7872.0,7832.0,7840.15984015984,7855.855855855856,7904.0,7832.0,7864.0,7784.0,7800.0,7800.1998001998,7839.839839839839,7800.0,7776.223776223776,7831.831831831832,7840.0
audio_recv_packetsReceivedPerSecond,7.011393514460999,9.512485136741974,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.992007992007992,8.008008008008009,8.0,8.0,8.0,8.0,8.0,7.992007992007992,8.008008008008009,8.0,7.992007992007992,8.008008008008009,8.0
audio_recv_googCurrentDelayMs,31.0,30.0,28.0,29.0,26.0,22.0,30.0,21.0,30.0,21.0,23.0,25.0,28.0,25.0,30.0,26.0,31.0,26.0,31.0,26.0,31.0,26.0,31.0,26.0,21.0,25.0
audio_recv_googJitterBufferMs,3.0,6.0,4.0,6.0,4.0,2.0,10.0,2.0,10.0,1.0,3.0,4.0,8.0,5.0,11.0,6.0,11.0,6.0,11.0,6.0,11.0,6.0,11.0,6.0,1.0,6.0
audio_recv_googJitterReceived,52.0,95.0,95.0,95.0,95.0,95.0,97.0,97.0,97.0,97.0,97.0,97.0,103.0,103.0,103.0,96.0,96.0,96.0,96.0,97.0,97.0,97.0,97.0,97.0,109.0,109.0
audio_recv_googPreferredJitterBufferMs,560.0,560.0,560.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0
video_recv_bitsReceivedPerSecond,983312.8834355829,1069745.5410225922,1023264.0,984072.0,1035904.0,994384.0,973160.0,1012624.0,890432.0,899944.0,931800.0,949344.0,916520.0,896655.3446553446,963275.2752752752,934432.0,928272.0,999584.0,879728.0,893112.0,948123.8761238761,927599.5995995996,928608.0,885962.037962038,966942.942942943,936512.0
video_recv_packetsReceivedPerSecond,130.5872042068361,139.12009512485136,132.0,130.0,131.0,127.0,127.0,136.0,119.0,118.0,121.0,128.0,124.0,118.88111888111888,122.12212212212212,124.0,121.0,132.0,121.0,120.0,123.87612387612387,124.12412412412412,124.0,115.88411588411589,123.12312312312312,123.0
video_recv_googCurrentDelayMs,75.0,75.0,72.0,71.0,69.0,67.0,65.0,64.0,62.0,60.0,59.0,59.0,59.0,58.0,58.0,58.0,58.0,57.0,56.0,56.0,56.0,56.0,55.0,55.0,55.0,54.0
video_recv_googDecodeMs,3.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0
video_recv_googFrameHeightReceived,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0
video_recv_googFrameRateOutput,61.0,61.0,60.0,60.0,60.0,60.0,61.0,60.0,60.0,60.0,61.0,60.0,60.0,60.0,60.0,60.0,61.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
video_recv_googFrameRateReceived,60.0,59.0,60.0,59.0,60.0,60.0,60.0,60.0,59.0,60.0,59.0,60.0,60.0,60.0,60.0,60.0,59.0,61.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
video_recv_googFrameWidthReceived,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0
video_recv_googInterframeDelayMax,26.0,19.0,32.0,19.0,18.0,18.0,18.0,19.0,19.0,19.0,20.0,18.0,19.0,20.0,18.0,19.0,18.0,18.0,18.0,19.0,19.0,19.0,18.0,18.0,20.0,18.0
video_recv_googJitterBufferMs,52.0,52.0,51.0,51.0,50.0,49.0,48.0,48.0,47.0,47.0,46.0,47.0,46.0,45.0,45.0,45.0,45.0,44.0,43.0,43.0,43.0,43.0,42.0,42.0,42.0,41.0
video_recv_googPlisSent,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
video_send_resolutionChangesSent,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
video_recv_resolutionChangesReceived,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_way_delay_audio_send,70.5,70.5,70.5,70.5,70.5,70.5,18.0,18.0,18.0,15.0,15.0,15.0,15.0,15.0,15.0,16.0,16.0,16.0,15.5,15.5,15.5,15.5,15.5,15.5,17.5,17.5
1_way_delay_video_send,27.0,25.0,19.5,16.0,13.5,12.0,10.5,10.5,10.0,9.0,8.5,8.5,8.5,8.0,8.0,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,8.0
ear_ear_delay_audio_send,79.5,77.5,75.5,80.5,73.5,78.5,19.0,31.0,21.0,29.0,23.0,22.0,18.0,19.0,16.0,22.0,21.0,18.0,19.5,17.5,16.5,16.5,23.5,20.5,29.5,17.5
audio_recv_kbitsReceivedPerSecond,6,9,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
video_recv_kbitsReceivedPerSecond,960,1044,999,961,1011,971,950,988,869,878,909,927,895,875,940,912,906,976,859,872,925,905,906,865,944,914
