bweforvideo-googAvailableReceiveBandwidth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bweforvideo-googAvailableSendBandwidth,300000.0,300000.0,300000.0,300000.0,300000.0,279044.0,278851.0,226921.0,211465.0,211465.0,212321.0,203228.0,195279.0,211901.0,229853.0,249241.0,270180.0,203770.0,207934.0,211878.0,215794.0,219906.0,223938.0,227886.0,231898.0,234330.0,239986.0,243842.0,247958.0,251998.0,255790.0,259326.0,263958.0,266002.0,251974.0,273132.0,273132.0,273132.0,273132.0,273132.0,295983.0,301246.0,301246.0,301246.0,301246.0,301246.0,254764.0,254764.0,254764.0,254764.0,200527.0,200527.0,200527.0,217569.0,235975.0,206017.0,223498.0,223498.0,223498.0,242378.0,238738.0,258837.0,280544.0,303988.0,329307.0,356652.0,386184.0,418079.0,420305.0,420305.0,420305.0,387468.0,163213.0,163213.0,163213.0,163213.0,141151.0,153443.0,166718.0,181055.0,187353.0,187945.0,187945.0,188393.0,192409.0,196473.0,200257.0
bweforvideo-googBucketDelay,0.0,0.0,0.0,0.0,49.0,0.0,6.0,5.0,4.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,38.0,1.0,2.0,52.0,1.0,6.0,51.0,1.0,13.0,0.0,1.0,1.0,4.0,60.0,0.0,69.0,3.0,1.0,53.0,2.0,4.0,36.0,2.0,0.0,3.0,2.0,0.0,2.0,0.0,2.0,4.0,3.0,1.0,2.0,3.0,1.0,20.0,4.0,2.0,1.0,0.0,0.0,0.0,2.0,3.0,54.0
timestamp,1546010968,1546010969,1546010970,1546010971,1546010972,1546010973,1546010974,1546010975,1546010976,1546010977,1546010978,1546010979,1546010980,1546010981,1546010982,1546010983,1546010984,1546010985,1546010986,1546010987,1546010988,1546010989,1546010990,1546010991,1546010992,1546010993,1546010994,1546010995,1546010996,1546010997,1546010998,1546010999,1546011000,1546011001,1546011002,1546011003,1546011004,1546011005,1546011006,1546011007,1546011008,1546011009,1546011010,1546011011,1546011012,1546011013,1546011014,1546011015,1546011016,1546011017,1546011018,1546011019,1546011020,1546011021,1546011022,1546011023,1546011024,1546011025,1546011026,1546011027,1546011028,1546011029,1546011030,1546011031,1546011032,1546011033,1546011034,1546011035,1546011036,1546011037,1546011038,1546011039,1546011040,1546011041,1546011042,1546011043,1546011044,1546011045,1546011046,1546011047,1546011048,1546011049,1546011050,1546011051,1546011052,1546011053,1546011054
audio_bitsReceivedPerSecond,-1,0.0,0.0,0.0,1256.0,0.0,0.0,0.0,0.0,0.0,0.0,1417769.7697697699,243736.5269461078,259315.31531531533,207256.0,287448.0,288600.0,231040.0,279840.0,287656.0,295688.0,291864.0,287232.0,271535.53553553554,274221.7782217782,232048.0,259080.0,280424.0,286128.0,286806.8068068068,254872.0,208928.0,256304.0,180592.0,212448.0,240608.0,246776.0,193606.3936063936,236332.33233233233,285690.3096903097,294728.0,295664.33566433564,298012.0240480962,298493.5064935065,287040.0,265720.0,287704.0,282386.3863863864,273350.6493506493,271304.0,199592.0,232880.0,286456.0,291296.0,291296.0,295576.0,297150.84915084916,294276.5531062124,301352.0,295272.7272727273,294049.95004995004,311071.0710710711,301717.7177177177,297814.1858141858,277264.0,232592.59259259258,259352.0,227504.99001996007,285098.1963927856,274211.5768463074,284416.8336673347,295552.44755244756,288344.0,285120.0,293485.48548548546,291316.68331668334,290320.0,281256.0,290992.0,292340.34034034034,253772.45508982035,210461.53846153847,280937.4379344588,282008.06451612903,286014.01401401404,288213.8613861386,292780.58645096055
audio_bitsSentPerSecond,-1,0.0,0.0,0.0,242912.0,354864.0,279727.45490981964,327856.14385614387,375489.02195608785,239214.42885771542,263048.0,-2028644.6446446446,216750.499001996,317261.26126126124,255808.0,265168.0,287312.0,288488.0,269888.0,227192.0,252600.0,267224.0,275672.0,271111.1111111111,297558.44155844155,290784.0,303040.0,317776.0,291088.0,276812.8128128128,304784.0,287856.0,298984.0,270800.0,281184.0,296496.0,286928.0,162677.32267732266,248200.2002002002,207488.5114885115,299496.0,312927.07292707294,271663.3266533066,292003.996003996,346336.0,256328.0,290856.0,300516.5165165165,268939.06093906093,285136.0,238752.0,333968.0,156456.0,239704.0,255856.0,306192.0,268763.23676323675,255198.39679358716,204408.0,276043.95604395604,257142.85714285713,291819.8198198198,314074.0740740741,296903.0969030969,331944.0,299243.24324324325,221784.0,210467.06586826348,301034.06813627254,251704.59081836327,316296.5931863727,282013.986013986,259376.0,241704.0,216208.2082082082,289214.7852147852,228120.0,248112.0,153176.0,192408.4084084084,321660.67864271457,289982.017982018,190387.2889771599,202612.90322580645,263311.3113113113,212831.68316831684,307591.5065722953
audio_packetsSentPerSecond,-1,0.0,0.0,0.0,45.0,112.0,98.19639278557115,108.89110889110889,121.7564870259481,98.19639278557115,101.0,-659.6596596596596,98.80239520958084,124.12412412412412,123.0,130.0,132.0,129.0,132.0,132.0,130.0,133.0,132.0,134.13413413413414,131.86813186813185,131.0,128.0,136.0,131.0,131.13113113113113,132.0,128.0,131.0,132.0,127.0,134.0,144.0,135.86413586413587,139.13913913913913,130.86913086913086,133.0,143.85614385614386,175.3507014028056,160.83916083916083,153.0,176.0,166.0,161.16116116116117,170.82917082917083,174.0,160.0,185.0,156.0,157.0,162.0,185.0,171.82817182817183,189.37875751503006,153.0,150.84915084915085,162.83716283716285,167.16716716716718,160.16016016016016,159.84015984015983,157.0,150.15015015015015,157.0,161.67664670658684,150.3006012024048,160.67864271457086,155.31062124248496,182.8171828171828,138.0,161.0,160.16016016016016,171.82817182817183,162.0,159.0,130.0,148.14814814814815,170.65868263473052,166.83316683316684,149.95034756703078,154.23387096774192,158.15815815815816,150.4950495049505,168.85743174924167
audio_googLocalAddress,-1,10.164.0.12:39553,10.164.0.12:39553,10.164.0.12:39553,10.164.0.12:39553,10.164.0.12:39553,10.164.0.12:39553,10.164.0.12:39553,10.164.0.12:39553,10.164.0.12:39553,10.164.0.12:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553,35.204.47.190:39553
audio_googRemoteAddress,-1,10.164.0.11:33482,10.164.0.11:48259,10.164.0.11:33482,10.164.0.11:33482,10.164.0.11:33482,10.164.0.11:33482,10.164.0.11:33482,10.164.0.11:33482,10.164.0.11:33482,10.164.0.11:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482,35.204.92.114:33482
audio_googRtt,-1,3000.0,931.0,947.0,880.0,836.0,836.0,836.0,1334.0,1897.0,1897.0,3741.0,3741.0,3741.0,3741.0,3609.0,3593.0,3545.0,3517.0,3457.0,3365.0,3372.0,3372.0,3311.0,3311.0,3311.0,3386.0,3386.0,3386.0,3424.0,3424.0,3424.0,3674.0,3674.0,3674.0,3994.0,3994.0,3994.0,4245.0,4245.0,4443.0,4443.0,4443.0,4565.0,4565.0,4538.0,4538.0,4456.0,4456.0,4380.0,4380.0,4380.0,4367.0,4367.0,4367.0,4482.0,4482.0,4482.0,4482.0,4482.0,4500.0,4500.0,4488.0,4488.0,4488.0,4428.0,4428.0,4428.0,4528.0,4528.0,4680.0,4680.0,4631.0,4631.0,4631.0,4601.0,4601.0,4553.0,4553.0,4553.0,4553.0,4553.0,4516.0,4516.0,4275.0,4275.0,4275.0
