bweforvideo-googAvailableReceiveBandwidth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bweforvideo-googAvailableSendBandwidth,139033.0,71970.0,72414.0,75470.0,79905.0,84968.0,89536.0,94176.0,98570.0,103845.0,110412.0,61716.0,61716.0,62236.0,66320.0,70376.0,74248.0,78384.0,82188.0,86120.0,90320.0,52683.0,52683.0,53015.0,56955.0,60899.0,64555.0,69214.0,49548.0,53702.0,58808.0,62901.0,53854.0,54474.0,56478.0
bweforvideo-googBucketDelay,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0
timestamp,1546010937,1546010938,1546010939,1546010940,1546010941,1546010942,1546010943,1546010944,1546010945,1546010946,1546010947,1546010948,1546010949,1546010950,1546010951,1546010952,1546010953,1546010954,1546010955,1546010956,1546010957,1546010958,1546010959,1546010960,1546010961,1546010962,1546010963,1546010964,1546010965,1546010966,1546010967,1546010968,1546010969,1546010970,1546010971
audio_bitsReceivedPerSecond,0.0,238784.99542543458,252366.07142857142,238072.0,256944.0,245736.0,255816.0,236296.0,259256.0,236728.0,177536.0,151456.0,165194.8051948052,230216.0,196243.75624375624,238728.0,234298.2982982983,277202.7972027972,243664.0,208480.0,179656.0,148656.0,146504.0,30464.0,30401.598401598403,187615.23046092186,242882.2355289421,190361.63836163835,172324.32432432432,162941.05894105893,86030.03003003003,27056.0,11803.803803803803,70529.47052947053,183712.0
audio_bitsSentPerSecond,0.0,150133.57731015552,96562.5,121792.0,123648.0,127144.0,146096.0,156912.0,164960.0,158736.0,153160.0,156496.0,114869.13086913087,105744.0,96631.36863136863,131560.0,134230.23023023023,135160.83916083915,130920.0,141368.0,124504.0,119984.0,93008.0,97256.0,98805.1948051948,111711.42284569138,117205.58882235529,119536.46353646353,95719.71971971972,108835.16483516483,99379.37937937937,109616.0,94814.81481481482,102833.16683316683,86344.0
audio_packetsSentPerSecond,0.0,111.61939615736505,82.58928571428571,92.0,117.0,127.0,127.0,126.0,120.0,118.0,125.0,117.0,77.92207792207792,84.0,105.89410589410589,117.0,119.11911911911912,106.89310689310689,107.0,103.0,109.0,103.0,73.0,73.0,75.92407592407592,98.19639278557115,111.77644710578842,91.9080919080919,87.08708708708708,72.92707292707293,75.07507507507508,89.0,64.06406406406407,72.92707292707293,92.0
audio_googLocalAddress,35.204.47.190:44737,35.204.47.190:44737,35.204.47.190:44737,35.204.47.190:44737,35.204.47.190:44737,35.204.47.190:44737,35.204.47.190:44737,35.204.47.190:44737,35.204.47.190:44737,35.204.47.190:44737,35.204.47.190:44737,35.204.47.190:44737,35.204.47.190:44737,35.204.47.190:44737,35.204.47.190:44737,35.204.47.190:44737,35.204.47.190:44737,35.204.47.190:44737,35.204.47.190:44737,35.204.47.190:44737,35.204.47.190:44737,35.204.47.190:44737,35.204.47.190:44737,35.204.47.190:44737,35.204.47.190:44737,35.204.47.190:44737,35.204.47.190:44737,35.204.47.190:44737,35.204.47.190:44737,35.204.47.190:44737,35.204.47.190:44737,35.204.47.190:44737,35.204.47.190:44737,35.204.47.190:44737,35.204.47.190:44737
audio_googRemoteAddress,54.93.122.52:10000,54.93.122.52:10000,54.93.122.52:10000,54.93.122.52:10000,54.93.122.52:10000,54.93.122.52:10000,54.93.122.52:10000,54.93.122.52:10000,54.93.122.52:10000,54.93.122.52:10000,54.93.122.52:10000,54.93.122.52:10000,54.93.122.52:10000,54.93.122.52:10000,54.93.122.52:10000,54.93.122.52:10000,54.93.122.52:10000,54.93.122.52:10000,54.93.122.52:10000,54.93.122.52:10000,54.93.122.52:10000,54.93.122.52:10000,54.93.122.52:10000,54.93.122.52:10000,54.93.122.52:10000,54.93.122.52:10000,54.93.122.52:10000,54.93.122.52:10000,54.93.122.52:10000,54.93.122.52:10000,54.93.122.52:10000,54.93.122.52:10000,54.93.122.52:10000,54.93.122.52:10000,54.93.122.52:10000
audio_googRtt,87.0,87.0,69.0,69.0,55.0,55.0,55.0,45.0,45.0,37.0,37.0,37.0,31.0,31.0,27.0,27.0,27.0,24.0,24.0,21.0,21.0,21.0,19.0,19.0,18.0,18.0,18.0,17.0,17.0,24.0,24.0,24.0,22.0,22.0,20.0
audio_send_bitsSentPerSecond,0.0,22938.700823421776,15160.714285714286,41448.0,40544.0,28144.0,40400.0,40584.0,40384.0,37792.0,33368.0,40384.0,39112.88711288711,39656.0,25206.793206793205,40096.0,40704.7047047047,40383.61638361638,33400.0,34560.0,22720.0,29488.0,40392.0,29856.0,40167.832167832166,40649.298597194385,41293.4131736527,27444.555444555444,29709.70970970971,40159.84015984016,40640.64064064064,30864.0,40392.392392392394,34629.37062937063,25336.0
audio_send_packetsLost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
audio_send_packetsSentPerSecond,0.0,50.32021957913998,47.99107142857143,51.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,48.95104895104895,51.0,49.95004995004995,50.0,50.050050050050054,49.95004995004995,50.0,50.0,50.0,50.0,50.0,50.0,49.95004995004995,50.100200400801604,50.89820359281437,48.95104895104895,50.050050050050054,49.95004995004995,50.050050050050054,50.0,50.050050050050054,49.95004995004995,50.0
audio_send_googJitterReceived,32.0,32.0,32.0,32.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,20.0,20.0,20.0,20.0,20.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,11.0,11.0,11.0,15.0,15.0
audio_send_googRtt,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0,16.0,16.0,16.0,16.0,16.0
video_send_bitsSentPerSecond,0.0,117086.91674290942,72839.28571428571,70304.0,74008.0,86960.0,96280.0,104528.0,115848.0,104432.0,110832.0,103624.0,70001.998001998,56080.0,63112.88711288711,80320.0,85773.77377377378,83068.93106893107,88480.0,90928.0,93592.0,78456.0,46416.0,59784.0,53986.01398601398,61587.174348697394,71720.55888223553,78081.91808191808,60948.94894894895,58197.8021978022,52748.748748748745,68424.0,50634.63463463463,60715.28471528472,54384.0
video_send_packetsLost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
video_send_packetsSentPerSecond,0.0,49.40530649588289,18.973214285714285,27.0,52.0,60.0,60.0,60.0,56.0,46.0,59.0,53.0,16.983016983016984,19.0,39.96003996003996,52.0,57.05705705705706,39.96003996003996,41.0,34.0,43.0,39.0,13.0,16.0,18.98101898101898,40.08016032064128,49.9001996007984,29.97002997002997,29.02902902902903,11.988011988011989,15.015015015015015,30.0,9.00900900900901,15.984015984015985,32.0
video_send_googEncodeUsagePercent,15.0,15.0,14.0,14.0,13.0,12.0,12.0,11.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,10.0,10.0,10.0,11.0,11.0,11.0,11.0,12.0,12.0
video_send_googFrameHeightSent,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0
video_send_googFrameRateSent,60.0,49.0,19.0,27.0,52.0,60.0,60.0,60.0,56.0,46.0,59.0,53.0,17.0,19.0,41.0,52.0,57.0,42.0,42.0,33.0,44.0,39.0,13.0,15.0,20.0,41.0,50.0,32.0,29.0,12.0,17.0,31.0,9.0,15.0,33.0
video_send_googFrameWidthSent,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0
video_send_googRtt,209.0,254.0,302.0,236.0,169.0,195.0,213.0,250.0,276.0,197.0,142.0,120.0,215.0,285.0,399.0,461.0,327.0,411.0,470.0,450.0,436.0,324.0,246.0,176.0,244.0,292.0,208.0,150.0,117.0,103.0,85.0,181.0,274.0,257.0,323.0
audio_recv_bitsReceivedPerSecond,0.0,23253.430924062213,25500.0,26200.0,41160.0,7984.0,31952.0,34240.0,34544.0,35936.0,20800.0,15760.0,21658.34165834166,37672.0,18013.986013986014,35960.0,24336.336336336335,16919.08091908092,6512.0,4808.0,9184.0,8680.0,6904.0,18080.0,21042.95704295704,9699.39879759519,17852.295409181635,15744.255744255745,14046.046046046045,11148.851148851149,12356.356356356357,14648.0,5781.781781781782,4179.82017982018,14016.0
audio_recv_packetsReceivedPerSecond,0.0,43.91582799634035,47.99107142857143,40.0,49.0,8.0,38.0,40.0,41.0,42.0,24.0,18.0,25.974025974025974,44.0,19.98001998001998,43.0,28.02802802802803,32.967032967032964,9.0,8.0,21.0,15.0,10.0,41.0,44.955044955044954,22.044088176352705,39.920159680638726,33.96603396603397,35.03503503503504,21.978021978021978,26.026026026026027,35.0,9.00900900900901,9.99000999000999,31.0
audio_recv_googCurrentDelayMs,358.0,297.0,329.0,261.0,263.0,200.0,216.0,179.0,142.0,145.0,114.0,97.0,97.0,156.0,128.0,164.0,200.0,193.0,111.0,70.0,58.0,50.0,41.0,129.0,152.0,113.0,134.0,100.0,142.0,121.0,85.0,129.0,112.0,76.0,112.0
audio_recv_googJitterBufferMs,121.0,102.0,187.0,80.0,174.0,20.0,56.0,16.0,37.0,1.0,4.0,24.0,24.0,205.0,2.0,134.0,12.0,141.0,6.0,2.0,0.0,2.0,8.0,28.0,93.0,15.0,84.0,51.0,45.0,27.0,2.0,34.0,22.0,2.0,84.0
audio_recv_googJitterReceived,6.0,6.0,6.0,6.0,6.0,6.0,6.0,9.0,9.0,9.0,9.0,22.0,22.0,22.0,36.0,36.0,36.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,18.0,18.0,18.0,18.0
audio_recv_googPreferredJitterBufferMs,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,380.0,360.0,380.0,340.0,320.0,280.0,280.0,240.0,220.0,220.0,220.0,440.0,700.0,700.0,700.0
video_recv_bitsReceivedPerSecond,0.0,202129.91765782252,215125.0,205648.0,197376.0,224680.0,208240.0,188800.0,210320.0,188808.0,146528.0,119688.0,135696.3036963037,183944.0,168287.7122877123,191016.0,200448.44844844844,244979.02097902098,212200.0,194040.0,163496.0,122776.0,134192.0,0.0,0.0,168753.50701402806,213740.51896207585,163916.0839160839,149285.2852852853,142137.86213786213,66178.17817817818,0.0,0.0,59196.803196803194,161824.0
video_recv_packetsReceivedPerSecond,0.0,52.15004574565416,62.5,60.0,57.0,61.0,56.0,55.0,53.0,57.0,43.0,36.0,37.96203796203796,52.0,50.94905094905095,53.0,57.05705705705706,65.93406593406593,59.0,55.0,40.0,48.0,44.0,0.0,0.0,37.07414829659319,66.86626746506985,53.946053946053944,36.03603603603604,41.95804195804196,21.02102102102102,0.0,0.0,7.992007992007992,43.0
video_recv_googCurrentDelayMs,42.0,44.0,42.0,40.0,38.0,37.0,36.0,35.0,35.0,33.0,34.0,41.0,45.0,46.0,49.0,52.0,61.0,59.0,57.0,55.0,59.0,60.0,58.0,58.0,58.0,440.0,432.0,418.0,416.0,391.0,378.0,378.0,378.0,255.0,270.0
video_recv_googDecodeMs,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0
video_recv_googFrameHeightReceived,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,360.0,360.0,360.0,360.0,360.0,180.0,180.0,180.0,360.0,360.0,360.0,360.0,360.0,360.0,180.0
video_recv_googFrameRateOutput,46.0,50.0,62.0,57.0,59.0,56.0,56.0,56.0,50.0,57.0,43.0,36.0,36.0,34.0,24.0,40.0,53.0,62.0,61.0,59.0,33.0,34.0,43.0,0.0,0.0,28.0,61.0,44.0,6.0,34.0,35.0,0.0,0.0,3.0,33.0
video_recv_googFrameRateReceived,44.0,51.0,62.0,60.0,58.0,57.0,56.0,55.0,50.0,57.0,43.0,36.0,36.0,42.0,44.0,45.0,50.0,67.0,58.0,54.0,33.0,37.0,40.0,0.0,0.0,28.0,60.0,44.0,25.0,35.0,17.0,0.0,0.0,3.0,33.0
video_recv_googFrameWidthReceived,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,640.0,640.0,640.0,640.0,640.0,320.0,320.0,320.0,640.0,640.0,640.0,640.0,640.0,640.0,320.0
video_recv_googInterframeDelayMax,116.0,156.0,72.0,49.0,19.0,45.0,69.0,32.0,56.0,36.0,173.0,208.0,230.0,137.0,362.0,254.0,102.0,19.0,18.0,19.0,112.0,154.0,103.0,-1.0,-1.0,2465.0,78.0,71.0,496.0,175.0,136.0,-1.0,-1.0,2584.0,284.0
video_recv_googJitterBufferMs,31.0,33.0,31.0,29.0,27.0,27.0,25.0,24.0,24.0,22.0,23.0,30.0,34.0,35.0,48.0,53.0,50.0,48.0,46.0,44.0,48.0,48.0,46.0,46.0,46.0,428.0,420.0,406.0,404.0,379.0,366.0,366.0,366.0,243.0,351.0
video_recv_googPlisSent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
