bweforvideo-googAvailableReceiveBandwidth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bweforvideo-googAvailableSendBandwidth,300000.0,300000.0,300000.0,301428.0,122594.0,122594.0,123118.0,123118.0,123118.0,124974.0,105326.0,106242.0,110094.0,114014.0,117970.0,100745.0,102797.0,106931.0,66875.0,70301.0,45291.0,45895.0,46395.0,48590.0,29563.0,30995.0,31675.0,32191.0,35766.0,39627.0,43797.0,48301.0,53165.0,58418.0,64091.0,43290.0,43290.0,47649.0,51914.0,56311.0,61816.0,67761.0,74182.0,81117.0,88606.0,96694.0,105430.0,114864.0,125053.0,136057.0,71148.0,76653.0,83785.0,91488.0,99807.0,108792.0,118495.0,128975.0,140293.0,152516.0,165717.0,178488.0,193767.0,210268.0,108554.0,108554.0,110565.0,118721.0,128233.0,139492.0,151651.0
bweforvideo-googBucketDelay,0.0,0.0,0.0,7.0,72.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,16.0,17.0,0.0,0.0,0.0,16.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
timestamp,1546010331,1546010332,1546010333,1546010334,1546010335,1546010336,1546010337,1546010338,1546010339,1546010340,1546010341,1546010342,1546010343,1546010344,1546010345,1546010346,1546010347,1546010348,1546010349,1546010350,1546010351,1546010352,1546010353,1546010354,1546010355,1546010356,1546010357,1546010358,1546010359,1546010360,1546010361,1546010362,1546010363,1546010364,1546010365,1546010366,1546010367,1546010368,1546010369,1546010370,1546010371,1546010372,1546010373,1546010374,1546010375,1546010376,1546010377,1546010378,1546010379,1546010380,1546010381,1546010382,1546010383,1546010384,1546010385,1546010386,1546010387,1546010388,1546010389,1546010390,1546010391,1546010392,1546010393,1546010394,1546010395,1546010396,1546010397,1546010398,1546010399,1546010400,1546010401
audio_bitsReceivedPerSecond,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
audio_bitsSentPerSecond,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
audio_packetsSentPerSecond,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
audio_googLocalAddress,-1,-1,10.164.0.11:44509,10.164.0.11:44509,10.164.0.11:44509,3.122.28.43:61608,3.122.28.43:60342,3.122.28.43:60342,3.122.28.43:60342,10.164.0.11:44509,10.164.0.11:44509,10.164.0.11:44509,3.122.28.43:60342,3.122.28.43:60342,10.164.0.11:44509,10.164.0.11:44509,10.164.0.11:44509,3.122.28.43:61608,3.122.28.43:61608,3.122.28.43:60342,3.122.28.43:60342,3.122.28.43:60342,3.122.28.43:61608,3.122.28.43:60342,3.122.28.43:60342,3.122.28.43:60342,3.122.28.43:60342,3.122.28.43:60342,3.122.28.43:60342,3.122.28.43:60342,3.122.28.43:60342,3.122.28.43:60342,3.122.28.43:60342,3.122.28.43:60342,3.122.28.43:60342,3.122.28.43:60342,3.122.28.43:60342,3.122.28.43:60342,3.122.28.43:60342,3.122.28.43:60342,3.122.28.43:60342,3.122.28.43:60342,3.122.28.43:60342,3.122.28.43:60342,3.122.28.43:60342,3.122.28.43:60342,3.122.28.43:60342,3.122.28.43:60342,3.122.28.43:60342,3.122.28.43:60342,3.122.28.43:60342,3.122.28.43:60342,3.122.28.43:60342,3.122.28.43:60342,3.122.28.43:60342,3.122.28.43:60342,3.122.28.43:60342,3.122.28.43:60342,3.122.28.43:60342,3.122.28.43:60342,3.122.28.43:60342,3.122.28.43:60342,3.122.28.43:60342,3.122.28.43:60342,3.122.28.43:60342,3.122.28.43:60342,3.122.28.43:60342,3.122.28.43:60342,3.122.28.43:60342,3.122.28.43:60342,3.122.28.43:60342
audio_googRemoteAddress,-1,-1,10.164.0.12:48447,10.164.0.12:44062,10.164.0.12:44062,3.122.28.43:56638,3.122.28.43:56638,3.122.28.43:56638,3.122.28.43:56638,10.164.0.12:44062,10.164.0.12:44062,10.164.0.12:44062,3.122.28.43:56638,3.122.28.43:56638,10.164.0.12:44062,10.164.0.12:44062,10.164.0.12:44062,3.122.28.43:56638,3.122.28.43:56638,3.122.28.43:54707,3.122.28.43:56638,3.122.28.43:56638,3.122.28.43:56638,3.122.28.43:56638,3.122.28.43:56638,3.122.28.43:56638,3.122.28.43:56638,3.122.28.43:56638,3.122.28.43:56638,3.122.28.43:56638,3.122.28.43:56638,3.122.28.43:56638,3.122.28.43:56638,3.122.28.43:56638,3.122.28.43:56638,3.122.28.43:56638,3.122.28.43:56638,3.122.28.43:56638,3.122.28.43:56638,3.122.28.43:56638,3.122.28.43:56638,3.122.28.43:56638,3.122.28.43:56638,3.122.28.43:56638,3.122.28.43:56638,3.122.28.43:56638,3.122.28.43:56638,3.122.28.43:56638,3.122.28.43:56638,3.122.28.43:56638,3.122.28.43:56638,3.122.28.43:56638,3.122.28.43:56638,3.122.28.43:56638,3.122.28.43:56638,3.122.28.43:56638,3.122.28.43:56638,3.122.28.43:56638,3.122.28.43:56638,3.122.28.43:56638,3.122.28.43:56638,3.122.28.43:56638,3.122.28.43:56638,3.122.28.43:56638,3.122.28.43:56638,3.122.28.43:56638,3.122.28.43:56638,3.122.28.43:56638,3.122.28.43:56638,3.122.28.43:56638,3.122.28.43:56638
audio_googRtt,-1,-1,71.0,74.0,74.0,1754.0,1760.0,1760.0,1760.0,74.0,74.0,74.0,1338.0,1338.0,74.0,74.0,74.0,1288.0,1288.0,1194.0,1013.0,1013.0,1025.0,773.0,773.0,773.0,590.0,590.0,452.0,452.0,452.0,349.0,349.0,271.0,271.0,271.0,213.0,213.0,170.0,170.0,170.0,137.0,137.0,112.0,112.0,112.0,94.0,94.0,80.0,80.0,80.0,69.0,69.0,61.0,61.0,61.0,55.0,55.0,51.0,51.0,51.0,48.0,48.0,46.0,46.0,46.0,45.0,45.0,43.0,43.0,43.0
