bweforvideo-googAvailableReceiveBandwidth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bweforvideo-googAvailableSendBandwidth,5750815.0,5750815.0,5750815.0,5750815.0,5750815.0,5750815.0,5750815.0,5750815.0,5750815.0,5750815.0
bweforvideo-googBucketDelay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
timestamp,1541205891,1541205892,1541205893,1541205894,1541205895,1541205896,1541205897,1541205898,1541205899,1541205900
audio_bitsReceivedPerSecond,1028501.2285012285,1129036.6492146596,1102416.0,1041664.0,1102733.0677290836,1057331.9959879639,1044016.0,1082872.0,949576.0,969508.3909180651
audio_bitsSentPerSecond,1527888.6158886158,1627832.4607329844,1547056.0,1622328.0,1603721.1155378486,1673364.0922768305,1665600.0,1465480.0,1455768.0,1465745.310957552
audio_packetsSentPerSecond,330.05733005733003,342.9319371727749,329.0,345.0,341.63346613545815,355.0651955867603,343.0,327.0,330.0,325.76505429417574
audio_googLocalAddress,35.204.137.161:41893,35.204.137.161:41893,35.204.137.161:41893,35.204.137.161:41893,35.204.137.161:41893,35.204.137.161:41893,35.204.137.161:41893,35.204.137.161:41893,35.204.137.161:41893,35.204.137.161:41893
audio_googRemoteAddress,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000
audio_googRtt,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
audio_send_bitsSentPerSecond,23908.27190827191,25026.178010471205,24168.0,24048.0,24039.840637450197,24361.08324974925,24472.0,24728.0,22072.0,18503.45508390918
audio_send_packetsLost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
audio_send_packetsSentPerSecond,49.959049959049956,49.738219895287955,50.0,50.0,49.800796812749006,50.150451354062184,50.0,50.0,50.0,50.34550839091806
audio_send_googJitterReceived,4.0,4.0,4.0,4.0,4.0,4.0,4.0,28.0,28.0,28.0
audio_send_googRtt,15.0,15.0,15.0,15.0,15.0,15.0,15.0,16.0,16.0,16.0
video_send_bitsSentPerSecond,1476717.4447174447,1583560.2094240838,1500320.0,1577296.0,1555689.2430278885,1626768.3049147443,1618096.0,1420568.0,1407280.0,1427932.8726554788
video_send_packetsLost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
video_send_packetsSentPerSecond,246.5192465192465,268.32460732984293,252.0,265.0,261.9521912350598,272.8184553660983,265.0,249.0,249.0,248.76604146100692
video_send_googEncodeUsagePercent,64.0,64.0,59.0,56.0,54.0,52.0,50.0,48.0,47.0,46.0
video_send_googFrameHeightSent,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0
video_send_googFrameRateSent,59.0,61.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
video_send_googFrameWidthSent,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0
video_send_googRtt,19.0,19.0,18.0,17.0,16.0,16.0,16.0,15.0,16.0,15.0
audio_recv_bitsReceivedPerSecond,42325.962325962326,40303.66492146597,42000.0,41296.0,41832.66932270916,42126.37913741224,42000.0,42000.0,42000.0,42290.227048371176
audio_recv_packetsReceivedPerSecond,49.959049959049956,48.42931937172775,50.0,49.0,49.800796812749006,50.150451354062184,50.0,50.0,50.0,50.34550839091806
audio_recv_googCurrentDelayMs,344.0,343.0,357.0,350.0,357.0,352.0,362.0,344.0,348.0,361.0
audio_recv_googJitterBufferMs,341.0,321.0,330.0,323.0,332.0,332.0,338.0,341.0,341.0,351.0
audio_recv_googJitterReceived,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0
audio_recv_googPreferredJitterBufferMs,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0
