bweforvideo-googAvailableReceiveBandwidth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bweforvideo-googAvailableSendBandwidth,896796.0,933776.0,964551.0,999523.0,1036288.0,1073976.0,1113699.0,1153935.0,823279.0,863479.0,894744.0,927594.0,960432.0,640102.0,668084.0,701730.0,734965.0,771078.0,815031.0,880487.0,949157.0,1115341.0,1149513.0,1182984.0,1217434.0,1251883.0,1130784.0,1165320.0,1195141.0,1226632.0,1118291.0,1104755.0,1136538.0,835281.0,871160.0,900737.0,931967.0,965210.0,998633.0,1034896.0,1071902.0,1111005.0
bweforvideo-googBucketDelay,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,38.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,2.0,4.0,3.0,0.0,1.0
timestamp,1541187620,1541187621,1541187622,1541187623,1541187624,1541187625,1541187626,1541187627,1541187628,1541187629,1541187630,1541187631,1541187632,1541187633,1541187634,1541187635,1541187636,1541187637,1541187638,1541187639,1541187640,1541187620,1541187621,1541187622,1541187623,1541187624,1541187625,1541187626,1541187627,1541187628,1541187629,1541187630,1541187631,1541187632,1541187633,1541187634,1541187635,1541187636,1541187637,1541187638,1541187639,1541187640
audio_bitsReceivedPerSecond,0.0,747910.9528049866,739902.6651216686,743944.0559440559,795755.7557557557,618192.0,523920.0,720432.0,712920.0,748248.0,524672.0,651656.0,670624.0,742888.0,792608.0,769160.0,761048.0,780704.0,719648.0,739144.0,766784.0,769814.0747176368,744182.6923076923,752856.8568568568,722232.0,761744.0,739792.4151696607,781931.8637274549,782537.4625374626,731664.0,734232.0,752111.2214498511,758583.5010060362,721072.0,649892.2155688623,585644.7105788423,591831.4944834503,635675.6756756756,693173.6526946108,662526.5265265265,718697.3026973027,715318.6372745491
audio_bitsSentPerSecond,0.0,988879.786286732,903406.7207415991,1007600.3996003997,1050938.938938939,1061848.0,1126456.0,1148888.0,1072536.0,907024.0,882536.0,960448.0,914736.0,930952.0,736496.0,766248.0,798824.0,750464.0,877560.0,856752.0,875952.0,1116510.8601216334,1158076.923076923,1208520.5205205206,1230840.0,1338144.0,1171121.7564870259,1120056.112224449,1210869.1308691308,1250712.0,1598000.0,849906.6534260178,1079315.8953722334,995048.0,950003.9920159681,901860.2794411178,958258.776328987,927223.2232232232,981604.7904191617,1045997.997997998,1101762.2377622377,1114861.7234468937
audio_packetsSentPerSecond,0.0,256.4559216384684,246.81344148319815,292.7072927072927,295.2952952952953,295.0,306.0,340.0,289.0,248.0,231.0,246.0,240.0,262.0,220.0,225.0,229.0,225.0,239.0,239.0,237.0,328.41007819287574,343.75,352.35235235235234,350.0,366.0,279.4411177644711,351.7034068136273,352.64735264735265,359.0,404.0,223.4359483614697,329.9798792756539,294.0,247.50499001996008,236.52694610778443,247.7432296890672,241.24124124124126,263.47305389221555,301.3013013013013,320.67932067932065,313.62725450901803
audio_googLocalAddress,35.204.125.129:38799,35.204.125.129:38799,35.204.125.129:38799,35.204.125.129:38799,35.204.125.129:38799,35.204.125.129:38799,35.204.125.129:38799,35.204.125.129:38799,35.204.125.129:38799,35.204.125.129:38799,35.204.125.129:38799,35.204.125.129:38799,35.204.125.129:38799,35.204.125.129:38799,35.204.125.129:38799,35.204.125.129:38799,35.204.125.129:38799,35.204.125.129:38799,35.204.125.129:38799,35.204.125.129:38799,35.204.125.129:38799,35.204.137.161:60908,35.204.137.161:60908,35.204.137.161:60908,35.204.137.161:60908,35.204.137.161:60908,35.204.137.161:60908,35.204.137.161:60908,35.204.137.161:60908,35.204.137.161:60908,35.204.137.161:60908,35.204.137.161:60908,35.204.137.161:60908,35.204.137.161:60908,35.204.137.161:60908,35.204.137.161:60908,35.204.137.161:60908,35.204.137.161:60908,35.204.137.161:60908,35.204.137.161:60908,35.204.137.161:60908,35.204.137.161:60908
audio_googRemoteAddress,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000
audio_googRtt,17.0,16.0,16.0,16.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,16.0,16.0,15.0,15.0,15.0,15.0,15.0,19.0,19.0,19.0,18.0,18.0,17.0,17.0,17.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,15.0,15.0,15.0,15.0,15.0,15.0
